protein1 protein2 combined_score
1122218.KB893653_gene1000 1122218.KB893664_gene2814 260
1122218.KB893653_gene1000 1122218.KB893668_gene2910 270
1122218.KB893653_gene1000 1122218.KB893653_gene1002 358
1122218.KB893653_gene1000 1122218.KB893655_gene215 260
1122218.KB893653_gene1000 1122218.KB893653_gene1005 271
1122218.KB893653_gene1000 1122218.KB893653_gene1015 358
1122218.KB893653_gene1000 1122218.KB893667_gene2944 260
1122218.KB893653_gene1000 1122218.KB893659_gene192 260
1122218.KB893653_gene1000 1122218.KB893668_gene2913 270
1122218.KB893653_gene1000 1122218.KB893664_gene2861 260
1122218.KB893653_gene1000 1122218.KB893653_gene1010 358
1122218.KB893653_gene1000 1122218.KB893653_gene1465 260
1122218.KB893653_gene1000 1122218.KB893664_gene2864 260
1122218.KB893653_gene1000 1122218.KB893653_gene1011 358
1122218.KB893653_gene1000 1122218.KB893653_gene1007 358
1122218.KB893653_gene1000 1122218.KB893668_gene2906 270
1122218.KB893653_gene1002 1122218.KB893664_gene2861 260
1122218.KB893653_gene1002 1122218.KB893653_gene1010 358
1122218.KB893653_gene1002 1122218.KB893653_gene1465 260
1122218.KB893653_gene1002 1122218.KB893664_gene2864 260
1122218.KB893653_gene1002 1122218.KB893653_gene1011 358
1122218.KB893653_gene1002 1122218.KB893653_gene1007 358
1122218.KB893653_gene1002 1122218.KB893664_gene2814 260
1122218.KB893653_gene1002 1122218.KB893655_gene215 260
1122218.KB893653_gene1002 1122218.KB893668_gene2910 270
1122218.KB893653_gene1002 1122218.KB893668_gene2904 271
1122218.KB893653_gene1002 1122218.KB893653_gene1005 271
1122218.KB893653_gene1002 1122218.KB893653_gene1015 358
1122218.KB893653_gene1002 1122218.KB893653_gene1000 358
1122218.KB893653_gene1002 1122218.KB893668_gene2913 270
1122218.KB893653_gene1002 1122218.KB893659_gene192 260
1122218.KB893653_gene1002 1122218.KB893667_gene2944 260
1122218.KB893653_gene1005 1122218.KB893653_gene1015 269
1122218.KB893653_gene1005 1122218.KB893668_gene2904 271
1122218.KB893653_gene1005 1122218.KB893659_gene192 269
1122218.KB893653_gene1005 1122218.KB893667_gene2944 269
1122218.KB893653_gene1005 1122218.KB893653_gene1000 271
1122218.KB893653_gene1005 1122218.KB893668_gene2913 271
1122218.KB893653_gene1005 1122218.KB893664_gene2814 269
1122218.KB893653_gene1005 1122218.KB893668_gene2910 271
1122218.KB893653_gene1005 1122218.KB893653_gene1002 271
1122218.KB893653_gene1005 1122218.KB893655_gene215 269
1122218.KB893653_gene1005 1122218.KB893653_gene1007 271
1122218.KB893653_gene1005 1122218.KB893653_gene1011 341
1122218.KB893653_gene1005 1122218.KB893668_gene2906 271
1122218.KB893653_gene1005 1122218.KB893664_gene2861 269
1122218.KB893653_gene1005 1122218.KB893653_gene1010 271
1122218.KB893653_gene1005 1122218.KB893664_gene2864 269
1122218.KB893653_gene1005 1122218.KB893653_gene1465 269
1122218.KB893653_gene1007 1122218.KB893653_gene1002 358
1122218.KB893653_gene1007 1122218.KB893655_gene215 260
1122218.KB893653_gene1007 1122218.KB893664_gene2814 260
1122218.KB893653_gene1007 1122218.KB893659_gene192 260
1122218.KB893653_gene1007 1122218.KB893667_gene2944 260
1122218.KB893653_gene1007 1122218.KB893668_gene2913 270
1122218.KB893653_gene1007 1122218.KB893653_gene1000 358
1122218.KB893653_gene1007 1122218.KB893653_gene1015 358
1122218.KB893653_gene1007 1122218.KB893653_gene1005 271
1122218.KB893653_gene1007 1122218.KB893668_gene2904 271
1122218.KB893653_gene1007 1122218.KB893653_gene1465 260
1122218.KB893653_gene1007 1122218.KB893664_gene2864 260
1122218.KB893653_gene1007 1122218.KB893653_gene1010 358
1122218.KB893653_gene1007 1122218.KB893664_gene2861 260
1122218.KB893653_gene1007 1122218.KB893668_gene2906 270
1122218.KB893653_gene1007 1122218.KB893653_gene1011 358
1122218.KB893653_gene1010 1122218.KB893653_gene1000 358
1122218.KB893653_gene1010 1122218.KB893659_gene192 260
1122218.KB893653_gene1010 1122218.KB893667_gene2944 260
1122218.KB893653_gene1010 1122218.KB893668_gene2904 271
