protein1 protein2 combined_score
458233.MCCL_0001 458233.MCCL_1012 190
458233.MCCL_0001 458233.MCCL_1233 245
458233.MCCL_0001 458233.MCCL_1232 426
458233.MCCL_0001 458233.MCCL_1950 652
458233.MCCL_0001 458233.MCCL_0160 157
458233.MCCL_0001 458233.MCCL_plsA0011 582
458233.MCCL_0001 458233.MCCL_1872 512
458233.MCCL_0001 458233.MCCL_0009 450
458233.MCCL_0001 458233.MCCL_1951 582
458233.MCCL_0001 458233.MCCL_1362 208
458233.MCCL_0001 458233.MCCL_0944 165
458233.MCCL_0001 458233.MCCL_1926 196
458233.MCCL_0001 458233.MCCL_1163 307
458233.MCCL_0001 458233.MCCL_0002 753
458233.MCCL_0001 458233.MCCL_0950 333
458233.MCCL_0001 458233.MCCL_0008 270
458233.MCCL_0001 458233.MCCL_1348 726
458233.MCCL_0001 458233.MCCL_0198 593
458233.MCCL_0001 458233.MCCL_0018 735
458233.MCCL_0001 458233.MCCL_1798 181
458233.MCCL_0001 458233.MCCL_1957 450
458233.MCCL_0001 458233.MCCL_1952 190
458233.MCCL_0001 458233.MCCL_1101 682
458233.MCCL_0001 458233.MCCL_1011 270
458233.MCCL_0001 458233.MCCL_1349 663
458233.MCCL_0002 458233.MCCL_1853 225
458233.MCCL_0002 458233.MCCL_0001 753
458233.MCCL_0002 458233.MCCL_1865 515
458233.MCCL_0002 458233.MCCL_0830 256
458233.MCCL_0002 458233.MCCL_1477 282
458233.MCCL_0002 458233.MCCL_1628 827
458233.MCCL_0002 458233.MCCL_1237 816
458233.MCCL_0002 458233.MCCL_0874 223
458233.MCCL_0002 458233.MCCL_1323 242
458233.MCCL_0002 458233.MCCL_1103 933
458233.MCCL_0002 458233.MCCL_0483 216
458233.MCCL_0002 458233.MCCL_0472 222
458233.MCCL_0002 458233.MCCL_1369 997
458233.MCCL_0002 458233.MCCL_0252 796
458233.MCCL_0002 458233.MCCL_0377 222
458233.MCCL_0002 458233.MCCL_1357 893
458233.MCCL_0002 458233.MCCL_1641 336
458233.MCCL_0002 458233.MCCL_1413 196
458233.MCCL_0002 458233.MCCL_1133 222
458233.MCCL_0002 458233.MCCL_1642 591
458233.MCCL_0002 458233.MCCL_1599 254
458233.MCCL_0002 458233.MCCL_1766 155
458233.MCCL_0002 458233.MCCL_1348 471
458233.MCCL_0002 458233.MCCL_1843 276
458233.MCCL_0002 458233.MCCL_0950 190
458233.MCCL_0002 458233.MCCL_0008 194
458233.MCCL_0002 458233.MCCL_1259 295
458233.MCCL_0002 458233.MCCL_1087 823
458233.MCCL_0002 458233.MCCL_1926 266
458233.MCCL_0002 458233.MCCL_0580 187
458233.MCCL_0002 458233.MCCL_1480 282
458233.MCCL_0002 458233.MCCL_1265 226
