protein1 protein2 combined_score
37692.ATP_00003 37692.ATP_00004 800
37692.ATP_00003 37692.ATP_00005 948
37692.ATP_00003 37692.ATP_00493 948
37692.ATP_00004 37692.ATP_00493 948
37692.ATP_00004 37692.ATP_00003 800
37692.ATP_00004 37692.ATP_00005 948
37692.ATP_00005 37692.ATP_00004 948
37692.ATP_00005 37692.ATP_00003 948
37692.ATP_00005 37692.ATP_00006 169
37692.ATP_00005 37692.ATP_00495 948
37692.ATP_00005 37692.ATP_00494 948
37692.ATP_00005 37692.ATP_00492 169
37692.ATP_00006 37692.ATP_00005 169
37692.ATP_00006 37692.ATP_00493 169
37692.ATP_00011 37692.ATP_00380 151
37692.ATP_00026 37692.ATP_00262 999
37692.ATP_00026 37692.ATP_00472 999
37692.ATP_00026 37692.ATP_00220 999
37692.ATP_00028 37692.ATP_00232 838
37692.ATP_00028 37692.ATP_00332 650
37692.ATP_00028 37692.ATP_00340 671
37692.ATP_00028 37692.ATP_00352 409
37692.ATP_00028 37692.ATP_00269 889
37692.ATP_00028 37692.ATP_00363 769
37692.ATP_00028 37692.ATP_00365 768
37692.ATP_00028 37692.ATP_00358 930
37692.ATP_00028 37692.ATP_00367 890
37692.ATP_00028 37692.ATP_00346 661
37692.ATP_00028 37692.ATP_00347 789
37692.ATP_00028 37692.ATP_00039 542
37692.ATP_00028 37692.ATP_00310 934
37692.ATP_00028 37692.ATP_00359 940
37692.ATP_00028 37692.ATP_00394 961
37692.ATP_00028 37692.ATP_00315 822
37692.ATP_00028 37692.ATP_00387 795
37692.ATP_00028 37692.ATP_00388 852
37692.ATP_00028 37692.ATP_00076 936
37692.ATP_00028 37692.ATP_00381 259
37692.ATP_00028 37692.ATP_00349 650
37692.ATP_00028 37692.ATP_00379 254
37692.ATP_00028 37692.ATP_00127 249
37692.ATP_00028 37692.ATP_00326 805
37692.ATP_00028 37692.ATP_00366 885
37692.ATP_00028 37692.ATP_00391 888
37692.ATP_00028 37692.ATP_00392 885
37692.ATP_00028 37692.ATP_00341 815
37692.ATP_00028 37692.ATP_00356 427
37692.ATP_00028 37692.ATP_00342 899
37692.ATP_00028 37692.ATP_00345 768
37692.ATP_00028 37692.ATP_00355 862
37692.ATP_00028 37692.ATP_00052 961
37692.ATP_00028 37692.ATP_00206 252
37692.ATP_00028 37692.ATP_00354 795
37692.ATP_00028 37692.ATP_00295 904
37692.ATP_00028 37692.ATP_00362 943
37692.ATP_00028 37692.ATP_00393 876
37692.ATP_00028 37692.ATP_00350 889
37692.ATP_00028 37692.ATP_00344 657
37692.ATP_00028 37692.ATP_00390 888
37692.ATP_00028 37692.ATP_00343 927
37692.ATP_00028 37692.ATP_00351 393
37692.ATP_00028 37692.ATP_00360 790
37692.ATP_00029 37692.ATP_00385 375
37692.ATP_00029 37692.ATP_00226 317
37692.ATP_00029 37692.ATP_00340 385
37692.ATP_00030 37692.ATP_00180 964
37692.ATP_00030 37692.ATP_00232 956
37692.ATP_00030 37692.ATP_00340 958
37692.ATP_00030 37692.ATP_00269 959
37692.ATP_00030 37692.ATP_00237 307
37692.ATP_00030 37692.ATP_00365 681
37692.ATP_00030 37692.ATP_00366 957
37692.ATP_00030 37692.ATP_00392 946
37692.ATP_00030 37692.ATP_00355 957
37692.ATP_00030 37692.ATP_00052 382
37692.ATP_00030 37692.ATP_00310 953
