protein1 protein2 combined_score
1123499.KB908018_gene1949 1123499.KB908019_gene2269 216
1123499.KB908018_gene1949 1123499.KB908018_gene2132 216
1123499.KB908018_gene1949 1123499.KB908019_gene2425 216
1123499.KB908018_gene1950 1123499.KB908029_gene10 169
1123499.KB908018_gene1950 1123499.KB908022_gene1091 912
1123499.KB908018_gene1950 1123499.KB908018_gene2153 233
1123499.KB908018_gene1950 1123499.KB908018_gene2051 153
1123499.KB908018_gene1950 1123499.KB908018_gene1973 165
1123499.KB908018_gene1950 1123499.KB908025_gene1607 416
1123499.KB908018_gene1950 1123499.KB908019_gene2265 172
1123499.KB908018_gene1950 1123499.KB908024_gene1412 197
1123499.KB908018_gene1950 1123499.KB908025_gene1627 169
1123499.KB908018_gene1950 1123499.KB908033_gene367 219
1123499.KB908018_gene1950 1123499.KB908020_gene854 874
1123499.KB908018_gene1950 1123499.KB908023_gene1268 835
1123499.KB908018_gene1950 1123499.KB908021_gene895 169
1123499.KB908018_gene1950 1123499.KB908027_gene1872 416
1123499.KB908018_gene1950 1123499.KB908028_gene117 219
1123499.KB908018_gene1950 1123499.KB908019_gene2312 219
1123499.KB908018_gene1950 1123499.KB908027_gene1876 219
1123499.KB908018_gene1950 1123499.KB908025_gene1525 416
1123499.KB908018_gene1950 1123499.KB908024_gene1411 183
1123499.KB908018_gene1950 1123499.KB908018_gene2053 874
1123499.KB908018_gene1957 1123499.KB908027_gene1883 222
1123499.KB908018_gene1958 1123499.KB908036_gene239 406
1123499.KB908018_gene1958 1123499.KB908023_gene1268 403
1123499.KB908018_gene1958 1123499.KB908037_gene179 252
1123499.KB908018_gene1958 1123499.KB908020_gene797 199
1123499.KB908018_gene1958 1123499.KB908018_gene1963 176
1123499.KB908018_gene1958 1123499.KB908037_gene180 252
1123499.KB908018_gene1958 1123499.KB908031_gene532 176
1123499.KB908018_gene1958 1123499.KB908030_gene626 176
1123499.KB908018_gene1958 1123499.KB908034_gene315 320
1123499.KB908018_gene1958 1123499.KB908018_gene1962 176
1123499.KB908018_gene1958 1123499.KB908018_gene2114 176
1123499.KB908018_gene1958 1123499.KB908034_gene316 348
1123499.KB908018_gene1958 1123499.KB908037_gene194 176
1123499.KB908018_gene1958 1123499.KB908030_gene630 252
1123499.KB908018_gene1959 1123499.KB908019_gene2399 191
1123499.KB908018_gene1959 1123499.KB908019_gene2327 213
1123499.KB908018_gene1959 1123499.KB908019_gene2232 191
1123499.KB908018_gene1959 1123499.KB908020_gene815 157
1123499.KB908018_gene1959 1123499.KB908020_gene758 167
1123499.KB908018_gene1959 1123499.KB908024_gene1439 157
1123499.KB908018_gene1959 1123499.KB908024_gene1429 167
1123499.KB908018_gene1959 1123499.KB908021_gene926 167
1123499.KB908018_gene1959 1123499.KB908029_gene40 221
1123499.KB908018_gene1959 1123499.KB908020_gene800 191
1123499.KB908018_gene1959 1123499.KB908024_gene1370 191
1123499.KB908018_gene1959 1123499.KB908023_gene1311 191
1123499.KB908018_gene1959 1123499.KB908021_gene996 191
1123499.KB908018_gene1959 1123499.KB908023_gene1206 167
1123499.KB908018_gene1959 1123499.KB908024_gene1355 206
1123499.KB908018_gene1959 1123499.KB908036_gene222 157
1123499.KB908018_gene1959 1123499.KB908025_gene1581 167
1123499.KB908018_gene1959 1123499.KB908020_gene831 167
1123499.KB908018_gene1959 1123499.KB908018_gene2015 862
1123499.KB908018_gene1959 1123499.KB908028_gene101 201
1123499.KB908018_gene1959 1123499.KB908038_gene1810 191
1123499.KB908018_gene1959 1123499.KB908022_gene1158 194
1123499.KB908018_gene1959 1123499.KB908035_gene267 977
1123499.KB908018_gene1959 1123499.KB908023_gene1264 220
1123499.KB908018_gene1959 1123499.KB908026_gene1757 167
1123499.KB908018_gene1959 1123499.KB908020_gene718 196
1123499.KB908018_gene1959 1123499.KB908019_gene2349 191
1123499.KB908018_gene1959 1123499.KB908029_gene18 194
1123499.KB908018_gene1959 1123499.KB908020_gene863 191
1123499.KB908018_gene1959 1123499.KB908025_gene1638 947
1123499.KB908018_gene1959 1123499.KB908019_gene2375 157
1123499.KB908018_gene1959 1123499.KB908028_gene89 191
1123499.KB908018_gene1959 1123499.KB908018_gene1996 222
1123499.KB908018_gene1959 1123499.KB908025_gene1555 224
1123499.KB908018_gene1959 1123499.KB908019_gene2206 207
1123499.KB908018_gene1959 1123499.KB908024_gene1373 867
1123499.KB908018_gene1959 1123499.KB908018_gene2047 191
1123499.KB908018_gene1959 1123499.KB908038_gene1789 191
1123499.KB908018_gene1959 1123499.KB908018_gene2147 191
1123499.KB908018_gene1959 1123499.KB908019_gene2331 201
1123499.KB908018_gene1959 1123499.KB908033_gene374 206
1123499.KB908018_gene1959 1123499.KB908029_gene8 191
1123499.KB908018_gene1959 1123499.KB908031_gene542 224
1123499.KB908018_gene1959 1123499.KB908023_gene1231 157
1123499.KB908018_gene1959 1123499.KB908027_gene1941 883
1123499.KB908018_gene1959 1123499.KB908029_gene54 194
1123499.KB908018_gene1959 1123499.KB908026_gene1723 195
1123499.KB908018_gene1959 1123499.KB908023_gene1241 195
1123499.KB908018_gene1959 1123499.KB908027_gene1943 150
1123499.KB908018_gene1959 1123499.KB908024_gene1398 971
1123499.KB908018_gene1959 1123499.KB908020_gene710 221
1123499.KB908018_gene1959 1123499.KB908018_gene2062 206
1123499.KB908018_gene1959 1123499.KB908026_gene1666 198
1123499.KB908018_gene1959 1123499.KB908022_gene1070 214
1123499.KB908018_gene1959 1123499.KB908022_gene1145 157
1123499.KB908018_gene1959 1123499.KB908023_gene1317 167
1123499.KB908018_gene1959 1123499.KB908023_gene1314 150
1123499.KB908018_gene1959 1123499.KB908025_gene1600 191
1123499.KB908018_gene1959 1123499.KB908021_gene986 157
1123499.KB908018_gene1959 1123499.KB908027_gene1869 167
1123499.KB908018_gene1959 1123499.KB908019_gene2363 167
1123499.KB908018_gene1959 1123499.KB908038_gene1790 191
1123499.KB908018_gene1959 1123499.KB908038_gene1800 191
1123499.KB908018_gene1959 1123499.KB908029_gene46 212
1123499.KB908018_gene1959 1123499.KB908020_gene837 157
1123499.KB908018_gene1959 1123499.KB908027_gene1928 167
1123499.KB908018_gene1959 1123499.KB908018_gene1988 214
1123499.KB908018_gene1959 1123499.KB908025_gene1635 194
1123499.KB908018_gene1959 1123499.KB908020_gene799 150
1123499.KB908018_gene1959 1123499.KB908019_gene2419 195
1123499.KB908018_gene1959 1123499.KB908029_gene72 191
1123499.KB908018_gene1959 1123499.KB908023_gene1223 191
1123499.KB908018_gene1959 1123499.KB908038_gene1815 191
1123499.KB908018_gene1959 1123499.KB908036_gene237 167
1123499.KB908018_gene1959 1123499.KB908026_gene1748 194
1123499.KB908018_gene1959 1123499.KB908018_gene2139 171
1123499.KB908018_gene1959 1123499.KB908033_gene373 973
1123499.KB908018_gene1959 1123499.KB908024_gene1403 191
1123499.KB908018_gene1959 1123499.KB908030_gene603 204
1123499.KB908018_gene1959 1123499.KB908026_gene1706 862
1123499.KB908018_gene1959 1123499.KB908027_gene1936 191
1123499.KB908018_gene1959 1123499.KB908031_gene522 976
1123499.KB908018_gene1959 1123499.KB908028_gene119 883
1123499.KB908018_gene1959 1123499.KB908038_gene1797 212
1123499.KB908018_gene1959 1123499.KB908036_gene215 191
1123499.KB908018_gene1959 1123499.KB908033_gene397 191
1123499.KB908018_gene1959 1123499.KB908020_gene721 157
1123499.KB908018_gene1959 1123499.KB908018_gene2149 191
1123499.KB908018_gene1959 1123499.KB908018_gene2048 221
1123499.KB908018_gene1959 1123499.KB908026_gene1758 191
1123499.KB908018_gene1959 1123499.KB908034_gene346 204
1123499.KB908018_gene1959 1123499.KB908021_gene920 862
1123499.KB908018_gene1959 1123499.KB908026_gene1702 862
1123499.KB908018_gene1959 1123499.KB908029_gene7 191
1123499.KB908018_gene1959 1123499.KB908040_gene2439 498
1123499.KB908018_gene1959 1123499.KB908040_gene2435 191
1123499.KB908018_gene1959 1123499.KB908018_gene2060 620
1123499.KB908018_gene1959 1123499.KB908026_gene1749 194
1123499.KB908018_gene1959 1123499.KB908027_gene1927 167
1123499.KB908018_gene1959 1123499.KB908018_gene1986 191
1123499.KB908018_gene1959 1123499.KB908040_gene2437 191
1123499.KB908018_gene1959 1123499.KB908027_gene1847 191
1123499.KB908018_gene1959 1123499.KB908027_gene1877 194
1123499.KB908018_gene1959 1123499.KB908019_gene2203 211
1123499.KB908018_gene1959 1123499.KB908026_gene1700 191
1123499.KB908018_gene1959 1123499.KB908019_gene2354 643
1123499.KB908018_gene1959 1123499.KB908034_gene342 201
1123499.KB908018_gene1959 1123499.KB908024_gene1405 191
1123499.KB908018_gene1959 1123499.KB908038_gene1791 191
1123499.KB908018_gene1959 1123499.KB908038_gene1805 191
1123499.KB908018_gene1959 1123499.KB908038_gene1813 191
1123499.KB908018_gene1959 1123499.KB908030_gene553 157
1123499.KB908018_gene1959 1123499.KB908025_gene1617 150
1123499.KB908018_gene1959 1123499.KB908023_gene1178 364
1123499.KB908018_gene1959 1123499.KB908024_gene1378 883
1123499.KB908018_gene1961 1123499.KB908033_gene373 169
1123499.KB908018_gene1961 1123499.KB908023_gene1291 204
1123499.KB908018_gene1961 1123499.KB908030_gene562 153
1123499.KB908018_gene1961 1123499.KB908025_gene1638 703
1123499.KB908018_gene1962 1123499.KB908034_gene317 176
1123499.KB908018_gene1962 1123499.KB908024_gene1370 177
1123499.KB908018_gene1962 1123499.KB908036_gene239 217
1123499.KB908018_gene1962 1123499.KB908019_gene2316 228
1123499.KB908018_gene1962 1123499.KB908018_gene1958 176
1123499.KB908018_gene1962 1123499.KB908029_gene35 161
1123499.KB908018_gene1963 1123499.KB908024_gene1370 177
1123499.KB908018_gene1963 1123499.KB908034_gene317 176
1123499.KB908018_gene1963 1123499.KB908018_gene1958 176
1123499.KB908018_gene1963 1123499.KB908029_gene35 161
1123499.KB908018_gene1963 1123499.KB908019_gene2316 228
1123499.KB908018_gene1963 1123499.KB908036_gene239 217
1123499.KB908018_gene1964 1123499.KB908018_gene2040 224
1123499.KB908018_gene1965 1123499.KB908027_gene1850 499
1123499.KB908018_gene1965 1123499.KB908023_gene1186 822
1123499.KB908018_gene1965 1123499.KB908033_gene384 309
1123499.KB908018_gene1965 1123499.KB908022_gene1128 188
1123499.KB908018_gene1965 1123499.KB908019_gene2323 209
1123499.KB908018_gene1965 1123499.KB908019_gene2210 216
1123499.KB908018_gene1965 1123499.KB908020_gene768 499
1123499.KB908018_gene1965 1123499.KB908027_gene1934 181
1123499.KB908018_gene1965 1123499.KB908030_gene573 227
1123499.KB908018_gene1965 1123499.KB908018_gene2180 150
1123499.KB908018_gene1965 1123499.KB908029_gene15 158
1123499.KB908018_gene1965 1123499.KB908019_gene2408 521
1123499.KB908018_gene1965 1123499.KB908022_gene1100 171
1123499.KB908018_gene1965 1123499.KB908054_gene632 181
1123499.KB908018_gene1965 1123499.KB908035_gene298 212
1123499.KB908018_gene1965 1123499.KB908019_gene2315 499
1123499.KB908018_gene1965 1123499.KB908033_gene388 150
1123499.KB908018_gene1965 1123499.KB908023_gene1187 822
1123499.KB908018_gene1965 1123499.KB908023_gene1236 521
1123499.KB908018_gene1965 1123499.KB908019_gene2334 198
1123499.KB908018_gene1965 1123499.KB908019_gene2381 151
1123499.KB908018_gene1965 1123499.KB908034_gene352 167
1123499.KB908018_gene1965 1123499.KB908021_gene931 198
1123499.KB908018_gene1965 1123499.KB908030_gene562 198
1123499.KB908018_gene1965 1123499.KB908020_gene818 801
1123499.KB908018_gene1965 1123499.KB908024_gene1478 499
1123499.KB908018_gene1965 1123499.KB908022_gene1047 194
1123499.KB908018_gene1965 1123499.KB908035_gene277 167
1123499.KB908018_gene1965 1123499.KB908031_gene544 171
1123499.KB908018_gene1965 1123499.KB908020_gene758 154
1123499.KB908018_gene1965 1123499.KB908018_gene2153 221
1123499.KB908018_gene1965 1123499.KB908023_gene1311 159
1123499.KB908018_gene1965 1123499.KB908026_gene1731 204
1123499.KB908018_gene1965 1123499.KB908030_gene569 181
1123499.KB908018_gene1965 1123499.KB908028_gene101 460
1123499.KB908018_gene1965 1123499.KB908018_gene2134 220
1123499.KB908018_gene1965 1123499.KB908018_gene2089 852
1123499.KB908018_gene1965 1123499.KB908027_gene1927 154
1123499.KB908018_gene1965 1123499.KB908019_gene2301 820
1123499.KB908018_gene1965 1123499.KB908018_gene2073 206
1123499.KB908018_gene1965 1123499.KB908023_gene1209 158
1123499.KB908018_gene1965 1123499.KB908031_gene482 183
1123499.KB908018_gene1965 1123499.KB908023_gene1189 765
1123499.KB908018_gene1965 1123499.KB908028_gene85 181
1123499.KB908018_gene1965 1123499.KB908024_gene1437 229
1123499.KB908018_gene1965 1123499.KB908029_gene17 499
1123499.KB908018_gene1965 1123499.KB908019_gene2321 521
1123499.KB908018_gene1965 1123499.KB908023_gene1204 205
1123499.KB908018_gene1965 1123499.KB908024_gene1402 204
1123499.KB908018_gene1965 1123499.KB908020_gene836 198
1123499.KB908018_gene1965 1123499.KB908020_gene863 195
1123499.KB908018_gene1965 1123499.KB908018_gene2196 181
1123499.KB908018_gene1965 1123499.KB908019_gene2331 460
1123499.KB908018_gene1965 1123499.KB908018_gene1972 801
1123499.KB908018_gene1965 1123499.KB908033_gene374 224
1123499.KB908018_gene1965 1123499.KB908019_gene2211 216
1123499.KB908018_gene1965 1123499.KB908020_gene811 194
1123499.KB908018_gene1965 1123499.KB908020_gene767 199
1123499.KB908018_gene1965 1123499.KB908018_gene2103 204
1123499.KB908018_gene1965 1123499.KB908029_gene10 173
1123499.KB908018_gene1965 1123499.KB908019_gene2281 198
1123499.KB908018_gene1965 1123499.KB908024_gene1355 224
1123499.KB908018_gene1965 1123499.KB908019_gene2270 244
1123499.KB908018_gene1965 1123499.KB908018_gene2026 820
1123499.KB908018_gene1966 1123499.KB908023_gene1316 657
1123499.KB908018_gene1966 1123499.KB908022_gene1156 657
1123499.KB908018_gene1966 1123499.KB908024_gene1438 169
1123499.KB908018_gene1966 1123499.KB908023_gene1295 169
1123499.KB908018_gene1966 1123499.KB908019_gene2312 210
1123499.KB908018_gene1966 1123499.KB908019_gene2301 813
1123499.KB908018_gene1966 1123499.KB908022_gene1046 183
1123499.KB908018_gene1966 1123499.KB908023_gene1189 835
1123499.KB908018_gene1966 1123499.KB908018_gene2153 181
1123499.KB908018_gene1966 1123499.KB908019_gene2281 257
1123499.KB908018_gene1966 1123499.KB908022_gene1047 701
1123499.KB908018_gene1966 1123499.KB908022_gene1089 197
1123499.KB908018_gene1966 1123499.KB908018_gene2134 256
1123499.KB908018_gene1966 1123499.KB908018_gene2026 813
1123499.KB908018_gene1966 1123499.KB908023_gene1296 169
1123499.KB908018_gene1966 1123499.KB908019_gene2381 709
1123499.KB908018_gene1966 1123499.KB908020_gene811 701
1123499.KB908018_gene1966 1123499.KB908027_gene1876 152
1123499.KB908018_gene1966 1123499.KB908021_gene884 169
1123499.KB908018_gene1966 1123499.KB908024_gene1411 866
1123499.KB908018_gene1968 1123499.KB908022_gene1086 223
1123499.KB908018_gene1968 1123499.KB908028_gene90 178
1123499.KB908018_gene1968 1123499.KB908018_gene1969 379
1123499.KB908018_gene1968 1123499.KB908020_gene736 195
1123499.KB908018_gene1968 1123499.KB908029_gene17 835
1123499.KB908018_gene1968 1123499.KB908023_gene1204 195
1123499.KB908018_gene1968 1123499.KB908019_gene2315 835
1123499.KB908018_gene1968 1123499.KB908024_gene1482 734
1123499.KB908018_gene1968 1123499.KB908022_gene1088 865
1123499.KB908018_gene1968 1123499.KB908036_gene215 909
1123499.KB908018_gene1968 1123499.KB908018_gene2080 207
1123499.KB908018_gene1968 1123499.KB908027_gene1850 835
1123499.KB908018_gene1968 1123499.KB908021_gene897 183
1123499.KB908018_gene1968 1123499.KB908020_gene804 898
1123499.KB908018_gene1968 1123499.KB908020_gene868 207
1123499.KB908018_gene1968 1123499.KB908018_gene2048 169
1123499.KB908018_gene1968 1123499.KB908021_gene1007 161
1123499.KB908018_gene1968 1123499.KB908031_gene482 183
1123499.KB908018_gene1968 1123499.KB908022_gene1087 863
1123499.KB908018_gene1968 1123499.KB908020_gene752 856
1123499.KB908018_gene1968 1123499.KB908020_gene803 935
1123499.KB908018_gene1968 1123499.KB908024_gene1481 734
1123499.KB908018_gene1968 1123499.KB908018_gene2001 873
1123499.KB908018_gene1968 1123499.KB908039_gene1821 868
1123499.KB908018_gene1968 1123499.KB908020_gene768 835
1123499.KB908018_gene1968 1123499.KB908022_gene1142 152
1123499.KB908018_gene1968 1123499.KB908018_gene1993 205
1123499.KB908018_gene1968 1123499.KB908025_gene1504 677
1123499.KB908018_gene1968 1123499.KB908030_gene587 161
1123499.KB908018_gene1968 1123499.KB908019_gene2246 239
1123499.KB908018_gene1968 1123499.KB908022_gene1089 853
1123499.KB908018_gene1968 1123499.KB908018_gene1997 899
1123499.KB908018_gene1968 1123499.KB908022_gene1091 867
1123499.KB908018_gene1968 1123499.KB908021_gene926 775
1123499.KB908018_gene1968 1123499.KB908026_gene1708 190
1123499.KB908018_gene1968 1123499.KB908018_gene2100 200
1123499.KB908018_gene1968 1123499.KB908024_gene1355 258
1123499.KB908018_gene1968 1123499.KB908031_gene518 224
1123499.KB908018_gene1968 1123499.KB908036_gene221 854
1123499.KB908018_gene1968 1123499.KB908029_gene24 863
1123499.KB908018_gene1968 1123499.KB908019_gene2309 183
1123499.KB908018_gene1968 1123499.KB908018_gene1975 873
1123499.KB908018_gene1968 1123499.KB908020_gene863 199
1123499.KB908018_gene1968 1123499.KB908025_gene1533 161
1123499.KB908018_gene1968 1123499.KB908028_gene142 178
1123499.KB908018_gene1968 1123499.KB908018_gene1996 891
1123499.KB908018_gene1968 1123499.KB908022_gene1084 853
1123499.KB908018_gene1968 1123499.KB908018_gene2000 861
1123499.KB908018_gene1968 1123499.KB908020_gene818 183
1123499.KB908018_gene1968 1123499.KB908033_gene374 258
1123499.KB908018_gene1968 1123499.KB908023_gene1284 861
1123499.KB908018_gene1968 1123499.KB908018_gene1972 183
1123499.KB908018_gene1968 1123499.KB908029_gene4 866
1123499.KB908018_gene1968 1123499.KB908023_gene1317 241
1123499.KB908018_gene1968 1123499.KB908024_gene1478 835
1123499.KB908018_gene1968 1123499.KB908020_gene710 169
1123499.KB908018_gene1968 1123499.KB908022_gene1169 200
1123499.KB908018_gene1969 1123499.KB908018_gene1999 379
1123499.KB908018_gene1969 1123499.KB908023_gene1241 273
1123499.KB908018_gene1969 1123499.KB908030_gene590 161
1123499.KB908018_gene1969 1123499.KB908023_gene1240 198
1123499.KB908018_gene1969 1123499.KB908033_gene374 557
1123499.KB908018_gene1969 1123499.KB908026_gene1683 150
1123499.KB908018_gene1969 1123499.KB908024_gene1373 751
1123499.KB908018_gene1969 1123499.KB908025_gene1627 197
1123499.KB908018_gene1969 1123499.KB908020_gene862 364
1123499.KB908018_gene1969 1123499.KB908020_gene863 171
1123499.KB908018_gene1969 1123499.KB908018_gene2089 354
1123499.KB908018_gene1969 1123499.KB908019_gene2309 587
1123499.KB908018_gene1969 1123499.KB908019_gene2209 217
1123499.KB908018_gene1969 1123499.KB908018_gene2015 760
1123499.KB908018_gene1969 1123499.KB908018_gene2134 204
1123499.KB908018_gene1969 1123499.KB908018_gene2026 232
1123499.KB908018_gene1969 1123499.KB908024_gene1355 557
1123499.KB908018_gene1969 1123499.KB908026_gene1708 196
1123499.KB908018_gene1969 1123499.KB908029_gene10 197
1123499.KB908018_gene1969 1123499.KB908033_gene408 161
1123499.KB908018_gene1969 1123499.KB908019_gene2333 161
1123499.KB908018_gene1969 1123499.KB908028_gene99 213
