protein1 protein2 combined_score
765910.MARPU_00005 765910.MARPU_15670 153
765910.MARPU_00005 765910.MARPU_13795 152
765910.MARPU_00005 765910.MARPU_16740 489
765910.MARPU_00005 765910.MARPU_00615 400
765910.MARPU_00005 765910.MARPU_05550 188
765910.MARPU_00005 765910.MARPU_01075 534
765910.MARPU_00005 765910.MARPU_04600 214
765910.MARPU_00005 765910.MARPU_02145 796
765910.MARPU_00005 765910.MARPU_09880 192
765910.MARPU_00005 765910.MARPU_09860 225
765910.MARPU_00005 765910.MARPU_00265 303
765910.MARPU_00005 765910.MARPU_07830 210
765910.MARPU_00005 765910.MARPU_11115 295
765910.MARPU_00005 765910.MARPU_15530 167
765910.MARPU_00005 765910.MARPU_03530 179
765910.MARPU_00005 765910.MARPU_03735 699
765910.MARPU_00005 765910.MARPU_04635 670
765910.MARPU_00005 765910.MARPU_16695 179
765910.MARPU_00005 765910.MARPU_15835 218
765910.MARPU_00005 765910.MARPU_03660 515
765910.MARPU_00005 765910.MARPU_00610 639
765910.MARPU_00005 765910.MARPU_00020 480
765910.MARPU_00005 765910.MARPU_00010 809
765910.MARPU_00005 765910.MARPU_09855 508
765910.MARPU_00005 765910.MARPU_03400 236
765910.MARPU_00005 765910.MARPU_13640 167
765910.MARPU_00005 765910.MARPU_07905 782
765910.MARPU_00005 765910.MARPU_08330 188
765910.MARPU_00005 765910.MARPU_04280 167
765910.MARPU_00005 765910.MARPU_10655 197
765910.MARPU_00005 765910.MARPU_07705 169
765910.MARPU_00010 765910.MARPU_01605 338
765910.MARPU_00010 765910.MARPU_04350 151
765910.MARPU_00010 765910.MARPU_03715 193
765910.MARPU_00010 765910.MARPU_12370 706
765910.MARPU_00010 765910.MARPU_00005 809
765910.MARPU_00010 765910.MARPU_03455 173
765910.MARPU_00010 765910.MARPU_02865 711
765910.MARPU_00010 765910.MARPU_12695 999
765910.MARPU_00010 765910.MARPU_04120 223
765910.MARPU_00010 765910.MARPU_03690 269
765910.MARPU_00010 765910.MARPU_01600 171
765910.MARPU_00010 765910.MARPU_04980 342
765910.MARPU_00010 765910.MARPU_04600 201
765910.MARPU_00010 765910.MARPU_09385 981
765910.MARPU_00010 765910.MARPU_05005 223
765910.MARPU_00010 765910.MARPU_02315 651
765910.MARPU_00010 765910.MARPU_15875 203
765910.MARPU_00010 765910.MARPU_07905 958
765910.MARPU_00010 765910.MARPU_06225 549
765910.MARPU_00010 765910.MARPU_11850 999
765910.MARPU_00010 765910.MARPU_07705 987
765910.MARPU_00010 765910.MARPU_09770 211
765910.MARPU_00010 765910.MARPU_02615 991
765910.MARPU_00010 765910.MARPU_12725 449
765910.MARPU_00010 765910.MARPU_05015 193
765910.MARPU_00010 765910.MARPU_00095 449
765910.MARPU_00010 765910.MARPU_09320 190
765910.MARPU_00010 765910.MARPU_08050 171
765910.MARPU_00010 765910.MARPU_07370 872
765910.MARPU_00010 765910.MARPU_07900 221
765910.MARPU_00010 765910.MARPU_14665 919
765910.MARPU_00010 765910.MARPU_08675 221
765910.MARPU_00010 765910.MARPU_04845 998
765910.MARPU_00010 765910.MARPU_06705 205
765910.MARPU_00010 765910.MARPU_00020 201
765910.MARPU_00010 765910.MARPU_16660 305
765910.MARPU_00010 765910.MARPU_10150 193
765910.MARPU_00010 765910.MARPU_12455 711
765910.MARPU_00010 765910.MARPU_14610 872
765910.MARPU_00010 765910.MARPU_11900 325
765910.MARPU_00010 765910.MARPU_09930 223
765910.MARPU_00010 765910.MARPU_11605 173
765910.MARPU_00010 765910.MARPU_04485 150
765910.MARPU_00010 765910.MARPU_13700 186
765910.MARPU_00010 765910.MARPU_04450 651
765910.MARPU_00010 765910.MARPU_11070 214
765910.MARPU_00010 765910.MARPU_01205 955
765910.MARPU_00010 765910.MARPU_02570 817
765910.MARPU_00010 765910.MARPU_08765 309
765910.MARPU_00010 765910.MARPU_16440 171
765910.MARPU_00010 765910.MARPU_07590 972
765910.MARPU_00010 765910.MARPU_08220 480
765910.MARPU_00010 765910.MARPU_11015 706
765910.MARPU_00010 765910.MARPU_07585 181
765910.MARPU_00010 765910.MARPU_14750 906
765910.MARPU_00010 765910.MARPU_13815 183
765910.MARPU_00010 765910.MARPU_01215 181
765910.MARPU_00010 765910.MARPU_02260 381
765910.MARPU_00010 765910.MARPU_09110 214
765910.MARPU_00010 765910.MARPU_02115 897
765910.MARPU_00010 765910.MARPU_11920 171
765910.MARPU_00010 765910.MARPU_00895 999
765910.MARPU_00010 765910.MARPU_14835 960
765910.MARPU_00010 765910.MARPU_00805 378
765910.MARPU_00010 765910.MARPU_15270 188
