protein1 protein2 combined_score
572544.Ilyop_0003 572544.Ilyop_1367 645
572544.Ilyop_0003 572544.Ilyop_0573 234
572544.Ilyop_0003 572544.Ilyop_0149 604
572544.Ilyop_0003 572544.Ilyop_0150 604
572544.Ilyop_0003 572544.Ilyop_0406 604
572544.Ilyop_0003 572544.Ilyop_0004 175
572544.Ilyop_0003 572544.Ilyop_0485 234
572544.Ilyop_0004 572544.Ilyop_1262 244
572544.Ilyop_0004 572544.Ilyop_0006 183
572544.Ilyop_0004 572544.Ilyop_0003 175
572544.Ilyop_0006 572544.Ilyop_1226 153
572544.Ilyop_0006 572544.Ilyop_1677 786
572544.Ilyop_0006 572544.Ilyop_1086 218
572544.Ilyop_0006 572544.Ilyop_0007 999
572544.Ilyop_0006 572544.Ilyop_0382 153
572544.Ilyop_0006 572544.Ilyop_1896 218
572544.Ilyop_0006 572544.Ilyop_0525 690
572544.Ilyop_0006 572544.Ilyop_1116 214
572544.Ilyop_0006 572544.Ilyop_1129 153
572544.Ilyop_0006 572544.Ilyop_1126 825
572544.Ilyop_0006 572544.Ilyop_1474 811
572544.Ilyop_0006 572544.Ilyop_0410 165
572544.Ilyop_0006 572544.Ilyop_0004 183
572544.Ilyop_0006 572544.Ilyop_0823 153
572544.Ilyop_0006 572544.Ilyop_0444 183
572544.Ilyop_0006 572544.Ilyop_1273 153
572544.Ilyop_0006 572544.Ilyop_1880 214
572544.Ilyop_0006 572544.Ilyop_0149 366
572544.Ilyop_0006 572544.Ilyop_0495 428
572544.Ilyop_0006 572544.Ilyop_1301 181
572544.Ilyop_0006 572544.Ilyop_1567 825
572544.Ilyop_0006 572544.Ilyop_2896 234
572544.Ilyop_0006 572544.Ilyop_0873 153
572544.Ilyop_0007 572544.Ilyop_1677 193
572544.Ilyop_0007 572544.Ilyop_2840 159
572544.Ilyop_0007 572544.Ilyop_1533 354
572544.Ilyop_0007 572544.Ilyop_0006 999
572544.Ilyop_0007 572544.Ilyop_0222 269
572544.Ilyop_0007 572544.Ilyop_0606 181
572544.Ilyop_0007 572544.Ilyop_1806 179
572544.Ilyop_0007 572544.Ilyop_0257 159
572544.Ilyop_0007 572544.Ilyop_0149 635
572544.Ilyop_0007 572544.Ilyop_1786 163
572544.Ilyop_0007 572544.Ilyop_1356 159
572544.Ilyop_0007 572544.Ilyop_1389 181
572544.Ilyop_0009 572544.Ilyop_1370 231
572544.Ilyop_0010 572544.Ilyop_0518 297
572544.Ilyop_0010 572544.Ilyop_0440 169
572544.Ilyop_0010 572544.Ilyop_0446 297
572544.Ilyop_0011 572544.Ilyop_0012 999
572544.Ilyop_0011 572544.Ilyop_1757 493
572544.Ilyop_0011 572544.Ilyop_0655 952
572544.Ilyop_0011 572544.Ilyop_0500 446
572544.Ilyop_0012 572544.Ilyop_1699 201
572544.Ilyop_0012 572544.Ilyop_0325 179
572544.Ilyop_0012 572544.Ilyop_1784 186
572544.Ilyop_0012 572544.Ilyop_0110 179
572544.Ilyop_0012 572544.Ilyop_1793 186
572544.Ilyop_0012 572544.Ilyop_0570 177
572544.Ilyop_0012 572544.Ilyop_1811 186
572544.Ilyop_0012 572544.Ilyop_0241 675
572544.Ilyop_0012 572544.Ilyop_0361 321
572544.Ilyop_0012 572544.Ilyop_1797 186
572544.Ilyop_0012 572544.Ilyop_1796 186
572544.Ilyop_0012 572544.Ilyop_1778 183
572544.Ilyop_0012 572544.Ilyop_0728 179
572544.Ilyop_0012 572544.Ilyop_1332 186
572544.Ilyop_0012 572544.Ilyop_0661 688
572544.Ilyop_0012 572544.Ilyop_1783 186
572544.Ilyop_0012 572544.Ilyop_1806 191
572544.Ilyop_0012 572544.Ilyop_1809 183
572544.Ilyop_0012 572544.Ilyop_1801 191
572544.Ilyop_0012 572544.Ilyop_0363 154
572544.Ilyop_0012 572544.Ilyop_1575 179
572544.Ilyop_0012 572544.Ilyop_0011 999
572544.Ilyop_0012 572544.Ilyop_1785 191
572544.Ilyop_0012 572544.Ilyop_0794 321
572544.Ilyop_0012 572544.Ilyop_1814 186
572544.Ilyop_0012 572544.Ilyop_1815 186
572544.Ilyop_0012 572544.Ilyop_1224 192
572544.Ilyop_0015 572544.Ilyop_0406 179
572544.Ilyop_0015 572544.Ilyop_1735 195
572544.Ilyop_0015 572544.Ilyop_0393 159
572544.Ilyop_0015 572544.Ilyop_1775 370
572544.Ilyop_0015 572544.Ilyop_1542 232
572544.Ilyop_0015 572544.Ilyop_0598 159
572544.Ilyop_0016 572544.Ilyop_0183 154
572544.Ilyop_0016 572544.Ilyop_1122 161
572544.Ilyop_0017 572544.Ilyop_0518 601
572544.Ilyop_0017 572544.Ilyop_1652 438
572544.Ilyop_0017 572544.Ilyop_1133 243
572544.Ilyop_0017 572544.Ilyop_1135 243
572544.Ilyop_0017 572544.Ilyop_1760 153
572544.Ilyop_0017 572544.Ilyop_1009 438
572544.Ilyop_0017 572544.Ilyop_0446 601
572544.Ilyop_0017 572544.Ilyop_1677 165
572544.Ilyop_0017 572544.Ilyop_0477 243
572544.Ilyop_0017 572544.Ilyop_1350 647
572544.Ilyop_0018 572544.Ilyop_0020 154
572544.Ilyop_0018 572544.Ilyop_0537 670
572544.Ilyop_0018 572544.Ilyop_0023 284
572544.Ilyop_0018 572544.Ilyop_0019 199
572544.Ilyop_0019 572544.Ilyop_0022 190
572544.Ilyop_0019 572544.Ilyop_0537 171
572544.Ilyop_0019 572544.Ilyop_0021 190
572544.Ilyop_0019 572544.Ilyop_0020 171
572544.Ilyop_0019 572544.Ilyop_0405 153
572544.Ilyop_0019 572544.Ilyop_0018 199
572544.Ilyop_0019 572544.Ilyop_0536 199
572544.Ilyop_0019 572544.Ilyop_0023 694
572544.Ilyop_0020 572544.Ilyop_0537 171
572544.Ilyop_0020 572544.Ilyop_0022 186
572544.Ilyop_0020 572544.Ilyop_0536 154
572544.Ilyop_0020 572544.Ilyop_0019 171
572544.Ilyop_0020 572544.Ilyop_0018 154
572544.Ilyop_0020 572544.Ilyop_0021 300
572544.Ilyop_0021 572544.Ilyop_0020 300
572544.Ilyop_0021 572544.Ilyop_0537 731
572544.Ilyop_0021 572544.Ilyop_0022 195
572544.Ilyop_0021 572544.Ilyop_0019 190
572544.Ilyop_0022 572544.Ilyop_0023 701
572544.Ilyop_0022 572544.Ilyop_0537 262
572544.Ilyop_0022 572544.Ilyop_0019 190
572544.Ilyop_0022 572544.Ilyop_0020 186
572544.Ilyop_0022 572544.Ilyop_0021 195
572544.Ilyop_0023 572544.Ilyop_0537 721
572544.Ilyop_0023 572544.Ilyop_1421 171
572544.Ilyop_0023 572544.Ilyop_0543 216
572544.Ilyop_0023 572544.Ilyop_0635 348
572544.Ilyop_0023 572544.Ilyop_0405 563
572544.Ilyop_0023 572544.Ilyop_1309 254
572544.Ilyop_0023 572544.Ilyop_1221 348
572544.Ilyop_0023 572544.Ilyop_0018 284
572544.Ilyop_0023 572544.Ilyop_0536 284
572544.Ilyop_0023 572544.Ilyop_2819 215
572544.Ilyop_0023 572544.Ilyop_0022 701
572544.Ilyop_0023 572544.Ilyop_0634 219
572544.Ilyop_0023 572544.Ilyop_0466 219
572544.Ilyop_0023 572544.Ilyop_0019 694
572544.Ilyop_0023 572544.Ilyop_0628 348
572544.Ilyop_0023 572544.Ilyop_1220 154
572544.Ilyop_0024 572544.Ilyop_0087 237
572544.Ilyop_0024 572544.Ilyop_0543 999
572544.Ilyop_0024 572544.Ilyop_0086 236
572544.Ilyop_0024 572544.Ilyop_0225 650
572544.Ilyop_0024 572544.Ilyop_0106 236
572544.Ilyop_0024 572544.Ilyop_0275 600
572544.Ilyop_0024 572544.Ilyop_0107 237
572544.Ilyop_0024 572544.Ilyop_0196 600
572544.Ilyop_0024 572544.Ilyop_0454 600
572544.Ilyop_0024 572544.Ilyop_0541 258
572544.Ilyop_0024 572544.Ilyop_0025 237
572544.Ilyop_0024 572544.Ilyop_0339 600
572544.Ilyop_0024 572544.Ilyop_1692 600
572544.Ilyop_0024 572544.Ilyop_1098 236
572544.Ilyop_0024 572544.Ilyop_1756 600
572544.Ilyop_0024 572544.Ilyop_1750 600
572544.Ilyop_0024 572544.Ilyop_0026 236
572544.Ilyop_0024 572544.Ilyop_1099 237
572544.Ilyop_0024 572544.Ilyop_1598 600
572544.Ilyop_0025 572544.Ilyop_0401 650
572544.Ilyop_0025 572544.Ilyop_0026 682
572544.Ilyop_0025 572544.Ilyop_1100 237
572544.Ilyop_0025 572544.Ilyop_1483 600
572544.Ilyop_0025 572544.Ilyop_1756 600
572544.Ilyop_0025 572544.Ilyop_1692 600
572544.Ilyop_0025 572544.Ilyop_0104 682
572544.Ilyop_0025 572544.Ilyop_0826 650
572544.Ilyop_0025 572544.Ilyop_0300 650
572544.Ilyop_0025 572544.Ilyop_0541 265
572544.Ilyop_0025 572544.Ilyop_0454 600
572544.Ilyop_0025 572544.Ilyop_0024 237
572544.Ilyop_0025 572544.Ilyop_0107 600
572544.Ilyop_0025 572544.Ilyop_0105 662
572544.Ilyop_0025 572544.Ilyop_0106 682
572544.Ilyop_0025 572544.Ilyop_0086 682
572544.Ilyop_0025 572544.Ilyop_0678 650
572544.Ilyop_0025 572544.Ilyop_0087 600
572544.Ilyop_0025 572544.Ilyop_1471 650
572544.Ilyop_0025 572544.Ilyop_1598 600
572544.Ilyop_0025 572544.Ilyop_1125 600
572544.Ilyop_0025 572544.Ilyop_1163 600
572544.Ilyop_0025 572544.Ilyop_1750 600
572544.Ilyop_0025 572544.Ilyop_0294 650
572544.Ilyop_0025 572544.Ilyop_1098 682
572544.Ilyop_0025 572544.Ilyop_0088 237
572544.Ilyop_0025 572544.Ilyop_1887 650
572544.Ilyop_0025 572544.Ilyop_0339 600
572544.Ilyop_0025 572544.Ilyop_0402 650
572544.Ilyop_0025 572544.Ilyop_0196 600
572544.Ilyop_0025 572544.Ilyop_0275 600
572544.Ilyop_0025 572544.Ilyop_1124 600
572544.Ilyop_0025 572544.Ilyop_1162 600
572544.Ilyop_0025 572544.Ilyop_0225 650
572544.Ilyop_0025 572544.Ilyop_1470 650
572544.Ilyop_0025 572544.Ilyop_0543 999
572544.Ilyop_0025 572544.Ilyop_1888 650
572544.Ilyop_0025 572544.Ilyop_1484 600
572544.Ilyop_0026 572544.Ilyop_0543 999
572544.Ilyop_0026 572544.Ilyop_1888 650
572544.Ilyop_0026 572544.Ilyop_1484 600
572544.Ilyop_0026 572544.Ilyop_0225 650
572544.Ilyop_0026 572544.Ilyop_1470 650
572544.Ilyop_0026 572544.Ilyop_1162 600
572544.Ilyop_0026 572544.Ilyop_1124 600
572544.Ilyop_0026 572544.Ilyop_0025 682
572544.Ilyop_0026 572544.Ilyop_0402 650
572544.Ilyop_0026 572544.Ilyop_0196 600
572544.Ilyop_0026 572544.Ilyop_0275 600
572544.Ilyop_0026 572544.Ilyop_1098 600
572544.Ilyop_0026 572544.Ilyop_0088 236
572544.Ilyop_0026 572544.Ilyop_1887 650
572544.Ilyop_0026 572544.Ilyop_0339 600
572544.Ilyop_0026 572544.Ilyop_1750 600
572544.Ilyop_0026 572544.Ilyop_0294 650
572544.Ilyop_0026 572544.Ilyop_1598 600
572544.Ilyop_0026 572544.Ilyop_1125 600
572544.Ilyop_0026 572544.Ilyop_1163 600
572544.Ilyop_0026 572544.Ilyop_0087 682
572544.Ilyop_0026 572544.Ilyop_1471 650
572544.Ilyop_0026 572544.Ilyop_0086 600
572544.Ilyop_0026 572544.Ilyop_0678 650
572544.Ilyop_0026 572544.Ilyop_0106 600
572544.Ilyop_0026 572544.Ilyop_0541 254
572544.Ilyop_0026 572544.Ilyop_0454 600
572544.Ilyop_0026 572544.Ilyop_0024 236
572544.Ilyop_0026 572544.Ilyop_0107 682
572544.Ilyop_0026 572544.Ilyop_0105 662
572544.Ilyop_0026 572544.Ilyop_1692 600
572544.Ilyop_0026 572544.Ilyop_0104 681
572544.Ilyop_0026 572544.Ilyop_0826 650
572544.Ilyop_0026 572544.Ilyop_0300 650
572544.Ilyop_0026 572544.Ilyop_1100 236
572544.Ilyop_0026 572544.Ilyop_1483 600
572544.Ilyop_0026 572544.Ilyop_1756 600
572544.Ilyop_0026 572544.Ilyop_1099 237
572544.Ilyop_0026 572544.Ilyop_0401 650
572544.Ilyop_0027 572544.Ilyop_0196 600
572544.Ilyop_0027 572544.Ilyop_1756 600
572544.Ilyop_0027 572544.Ilyop_0275 600
572544.Ilyop_0027 572544.Ilyop_1750 600
572544.Ilyop_0027 572544.Ilyop_0454 600
572544.Ilyop_0027 572544.Ilyop_0339 600
572544.Ilyop_0027 572544.Ilyop_0225 650
572544.Ilyop_0027 572544.Ilyop_1598 600
572544.Ilyop_0027 572544.Ilyop_1692 600
572544.Ilyop_0029 572544.Ilyop_1517 177
572544.Ilyop_0032 572544.Ilyop_1508 188
572544.Ilyop_0032 572544.Ilyop_1435 179
572544.Ilyop_0032 572544.Ilyop_0047 153
572544.Ilyop_0032 572544.Ilyop_1551 153
572544.Ilyop_0032 572544.Ilyop_0397 153
572544.Ilyop_0032 572544.Ilyop_1810 181
572544.Ilyop_0032 572544.Ilyop_0933 209
572544.Ilyop_0032 572544.Ilyop_1536 183
572544.Ilyop_0032 572544.Ilyop_0455 183
572544.Ilyop_0032 572544.Ilyop_0444 165
572544.Ilyop_0032 572544.Ilyop_1903 183
572544.Ilyop_0032 572544.Ilyop_1674 183
572544.Ilyop_0032 572544.Ilyop_1791 181
572544.Ilyop_0032 572544.Ilyop_0366 191
572544.Ilyop_0032 572544.Ilyop_1391 191
572544.Ilyop_0032 572544.Ilyop_1711 183
572544.Ilyop_0032 572544.Ilyop_0578 188
572544.Ilyop_0032 572544.Ilyop_0529 183
572544.Ilyop_0032 572544.Ilyop_0167 186
572544.Ilyop_0032 572544.Ilyop_1799 183
572544.Ilyop_0032 572544.Ilyop_1388 163
572544.Ilyop_0032 572544.Ilyop_0175 181
572544.Ilyop_0032 572544.Ilyop_0589 209
572544.Ilyop_0032 572544.Ilyop_0961 186
572544.Ilyop_0033 572544.Ilyop_0482 278
572544.Ilyop_0033 572544.Ilyop_1905 163
572544.Ilyop_0033 572544.Ilyop_1492 683
572544.Ilyop_0033 572544.Ilyop_0495 248
572544.Ilyop_0033 572544.Ilyop_1517 519
572544.Ilyop_0033 572544.Ilyop_1804 153
572544.Ilyop_0033 572544.Ilyop_1435 878
572544.Ilyop_0033 572544.Ilyop_1234 289
572544.Ilyop_0033 572544.Ilyop_1693 196
572544.Ilyop_0033 572544.Ilyop_1623 177
572544.Ilyop_0033 572544.Ilyop_1370 623
572544.Ilyop_0033 572544.Ilyop_0177 177
572544.Ilyop_0033 572544.Ilyop_1677 736
572544.Ilyop_0033 572544.Ilyop_0278 154
572544.Ilyop_0033 572544.Ilyop_1799 153
572544.Ilyop_0033 572544.Ilyop_0440 195
572544.Ilyop_0033 572544.Ilyop_0405 159
572544.Ilyop_0033 572544.Ilyop_0679 154
572544.Ilyop_0033 572544.Ilyop_0331 278
572544.Ilyop_0033 572544.Ilyop_0642 154
572544.Ilyop_0033 572544.Ilyop_0660 682
572544.Ilyop_0033 572544.Ilyop_1275 158
572544.Ilyop_0033 572544.Ilyop_1733 225
572544.Ilyop_0033 572544.Ilyop_0680 225
572544.Ilyop_0033 572544.Ilyop_1699 849
572544.Ilyop_0033 572544.Ilyop_1371 446
572544.Ilyop_0033 572544.Ilyop_0207 332
572544.Ilyop_0033 572544.Ilyop_1759 500
572544.Ilyop_0033 572544.Ilyop_0349 820
572544.Ilyop_0033 572544.Ilyop_0355 683
572544.Ilyop_0033 572544.Ilyop_0241 235
572544.Ilyop_0033 572544.Ilyop_1338 154
572544.Ilyop_0033 572544.Ilyop_1895 511
572544.Ilyop_0033 572544.Ilyop_1760 663
572544.Ilyop_0033 572544.Ilyop_1542 225
572544.Ilyop_0033 572544.Ilyop_0597 154
572544.Ilyop_0033 572544.Ilyop_0220 225
572544.Ilyop_0033 572544.Ilyop_1001 225
572544.Ilyop_0033 572544.Ilyop_1562 195
572544.Ilyop_0033 572544.Ilyop_1694 196
572544.Ilyop_0033 572544.Ilyop_1547 171
572544.Ilyop_0033 572544.Ilyop_0792 177
572544.Ilyop_0033 572544.Ilyop_0034 644
572544.Ilyop_0033 572544.Ilyop_1259 225
572544.Ilyop_0033 572544.Ilyop_1524 177
572544.Ilyop_0034 572544.Ilyop_1417 154
572544.Ilyop_0034 572544.Ilyop_0665 203
572544.Ilyop_0034 572544.Ilyop_1316 183
572544.Ilyop_0034 572544.Ilyop_1806 177
572544.Ilyop_0034 572544.Ilyop_0205 195
572544.Ilyop_0034 572544.Ilyop_1760 565
572544.Ilyop_0034 572544.Ilyop_1677 572
572544.Ilyop_0034 572544.Ilyop_0033 644
572544.Ilyop_0034 572544.Ilyop_1234 188
572544.Ilyop_0034 572544.Ilyop_1517 665
572544.Ilyop_0034 572544.Ilyop_1807 194
572544.Ilyop_0034 572544.Ilyop_1759 167
572544.Ilyop_0035 572544.Ilyop_1142 193
