protein1 protein2 combined_score
485915.Dret_0002 485915.Dret_0004 698
485915.Dret_0002 485915.Dret_2470 320
485915.Dret_0002 485915.Dret_1716 282
485915.Dret_0002 485915.Dret_0785 320
485915.Dret_0002 485915.Dret_0751 225
485915.Dret_0002 485915.Dret_1936 282
485915.Dret_0004 485915.Dret_0425 154
485915.Dret_0004 485915.Dret_2506 282
485915.Dret_0004 485915.Dret_0751 678
485915.Dret_0004 485915.Dret_1028 161
485915.Dret_0004 485915.Dret_1128 282
485915.Dret_0004 485915.Dret_2510 282
485915.Dret_0004 485915.Dret_1633 183
485915.Dret_0004 485915.Dret_1493 154
485915.Dret_0004 485915.Dret_2470 217
485915.Dret_0004 485915.Dret_0785 217
485915.Dret_0004 485915.Dret_1845 154
485915.Dret_0004 485915.Dret_0002 698
485915.Dret_0004 485915.Dret_1642 154
485915.Dret_0004 485915.Dret_1841 161
485915.Dret_0005 485915.Dret_0686 615
485915.Dret_0006 485915.Dret_2471 224
485915.Dret_0006 485915.Dret_0877 161
485915.Dret_0006 485915.Dret_2417 163
485915.Dret_0006 485915.Dret_1856 161
485915.Dret_0006 485915.Dret_1243 218
485915.Dret_0006 485915.Dret_2404 213
485915.Dret_0006 485915.Dret_0953 163
485915.Dret_0006 485915.Dret_0350 163
485915.Dret_0006 485915.Dret_2301 167
485915.Dret_0006 485915.Dret_0083 189
485915.Dret_0006 485915.Dret_2302 163
485915.Dret_0006 485915.Dret_0772 243
485915.Dret_0006 485915.Dret_2131 246
485915.Dret_0006 485915.Dret_0010 163
485915.Dret_0006 485915.Dret_1908 190
485915.Dret_0006 485915.Dret_0042 154
485915.Dret_0006 485915.Dret_1200 167
485915.Dret_0006 485915.Dret_1406 698
485915.Dret_0006 485915.Dret_1844 163
485915.Dret_0006 485915.Dret_1320 163
485915.Dret_0006 485915.Dret_1049 163
485915.Dret_0006 485915.Dret_1811 163
485915.Dret_0006 485915.Dret_1544 163
485915.Dret_0006 485915.Dret_1309 163
485915.Dret_0006 485915.Dret_1082 161
485915.Dret_0006 485915.Dret_1370 195
485915.Dret_0007 485915.Dret_0750 615
485915.Dret_0007 485915.Dret_0751 679
485915.Dret_0007 485915.Dret_0008 679
485915.Dret_0008 485915.Dret_0749 648
485915.Dret_0008 485915.Dret_2158 374
485915.Dret_0008 485915.Dret_0087 250
485915.Dret_0008 485915.Dret_0750 648
485915.Dret_0008 485915.Dret_1302 615
485915.Dret_0008 485915.Dret_0007 679
485915.Dret_0009 485915.Dret_1662 303
485915.Dret_0009 485915.Dret_2231 161
485915.Dret_0009 485915.Dret_1422 161
485915.Dret_0009 485915.Dret_0101 165
485915.Dret_0009 485915.Dret_1660 303
485915.Dret_0009 485915.Dret_1771 165
485915.Dret_0010 485915.Dret_1148 157
485915.Dret_0010 485915.Dret_2301 214
485915.Dret_0010 485915.Dret_0018 173
485915.Dret_0010 485915.Dret_1953 150
485915.Dret_0010 485915.Dret_0952 150
485915.Dret_0010 485915.Dret_0311 167
485915.Dret_0010 485915.Dret_1255 157
485915.Dret_0010 485915.Dret_1489 205
485915.Dret_0010 485915.Dret_1416 477
485915.Dret_0010 485915.Dret_1367 155
485915.Dret_0010 485915.Dret_0019 188
485915.Dret_0010 485915.Dret_1753 205
485915.Dret_0010 485915.Dret_0616 198
485915.Dret_0010 485915.Dret_1480 519
485915.Dret_0010 485915.Dret_1161 150
485915.Dret_0010 485915.Dret_1217 150
485915.Dret_0010 485915.Dret_1053 219
485915.Dret_0010 485915.Dret_1210 150
485915.Dret_0010 485915.Dret_1607 167
485915.Dret_0010 485915.Dret_1425 203
485915.Dret_0010 485915.Dret_0369 171
485915.Dret_0010 485915.Dret_0006 163
485915.Dret_0010 485915.Dret_0303 214
485915.Dret_0010 485915.Dret_0223 517
485915.Dret_0010 485915.Dret_2499 171
485915.Dret_0010 485915.Dret_0280 191
485915.Dret_0010 485915.Dret_2114 200
485915.Dret_0010 485915.Dret_2048 255
485915.Dret_0010 485915.Dret_1322 483
485915.Dret_0010 485915.Dret_0170 188
485915.Dret_0010 485915.Dret_1420 156
485915.Dret_0010 485915.Dret_1955 150
485915.Dret_0010 485915.Dret_1752 519
485915.Dret_0010 485915.Dret_1086 171
485915.Dret_0010 485915.Dret_0610 191
485915.Dret_0011 485915.Dret_1772 214
485915.Dret_0011 485915.Dret_0012 282
485915.Dret_0011 485915.Dret_0278 190
485915.Dret_0011 485915.Dret_1690 181
485915.Dret_0011 485915.Dret_2110 303
485915.Dret_0011 485915.Dret_1490 212
485915.Dret_0011 485915.Dret_0226 163
485915.Dret_0012 485915.Dret_1225 244
485915.Dret_0012 485915.Dret_2110 244
485915.Dret_0012 485915.Dret_1807 244
485915.Dret_0012 485915.Dret_0278 720
485915.Dret_0012 485915.Dret_0011 282
485915.Dret_0013 485915.Dret_1904 216
485915.Dret_0013 485915.Dret_2234 230
485915.Dret_0013 485915.Dret_1710 183
485915.Dret_0013 485915.Dret_1681 189
485915.Dret_0013 485915.Dret_2068 216
485915.Dret_0013 485915.Dret_1937 216
485915.Dret_0013 485915.Dret_2059 179
485915.Dret_0013 485915.Dret_1425 197
485915.Dret_0013 485915.Dret_2487 161
485915.Dret_0013 485915.Dret_2459 189
485915.Dret_0013 485915.Dret_0303 293
485915.Dret_0013 485915.Dret_0998 189
485915.Dret_0013 485915.Dret_1719 208
485915.Dret_0013 485915.Dret_2051 159
485915.Dret_0013 485915.Dret_0315 211
485915.Dret_0013 485915.Dret_0752 196
485915.Dret_0013 485915.Dret_1290 189
485915.Dret_0014 485915.Dret_0502 345
485915.Dret_0014 485915.Dret_0303 245
485915.Dret_0014 485915.Dret_1908 205
485915.Dret_0014 485915.Dret_1301 188
485915.Dret_0014 485915.Dret_1200 205
485915.Dret_0014 485915.Dret_0456 258
485915.Dret_0014 485915.Dret_0301 345
485915.Dret_0014 485915.Dret_2234 245
