protein1 protein2 combined_score
262719.MHJ_0001 262719.MHJ_0029 220
262719.MHJ_0001 262719.MHJ_0187 670
262719.MHJ_0001 262719.MHJ_0676 672
262719.MHJ_0001 262719.MHJ_0675 613
262719.MHJ_0001 262719.MHJ_0644 670
262719.MHJ_0001 262719.MHJ_0011 442
262719.MHJ_0001 262719.MHJ_0030 254
262719.MHJ_0001 262719.MHJ_0637 637
262719.MHJ_0001 262719.MHJ_0345 624
262719.MHJ_0001 262719.MHJ_0063 594
262719.MHJ_0001 262719.MHJ_0002 673
262719.MHJ_0001 262719.MHJ_0106 254
262719.MHJ_0001 262719.MHJ_0529 236
262719.MHJ_0002 262719.MHJ_0617 826
262719.MHJ_0002 262719.MHJ_0060 945
262719.MHJ_0002 262719.MHJ_0041 999
262719.MHJ_0002 262719.MHJ_0416 661
262719.MHJ_0002 262719.MHJ_0001 673
262719.MHJ_0002 262719.MHJ_0592 945
262719.MHJ_0002 262719.MHJ_0361 968
262719.MHJ_0002 262719.MHJ_0570 673
262719.MHJ_0002 262719.MHJ_0035 877
262719.MHJ_0002 262719.MHJ_0583 999
262719.MHJ_0002 262719.MHJ_0248 300
262719.MHJ_0002 262719.MHJ_0258 554
262719.MHJ_0002 262719.MHJ_0252 300
262719.MHJ_0002 262719.MHJ_0582 997
262719.MHJ_0002 262719.MHJ_0055 638
262719.MHJ_0003 262719.MHJ_0428 692
262719.MHJ_0003 262719.MHJ_0205 766
262719.MHJ_0008 262719.MHJ_0190 267
262719.MHJ_0008 262719.MHJ_0182 267
262719.MHJ_0008 262719.MHJ_0180 267
262719.MHJ_0008 262719.MHJ_0175 267
262719.MHJ_0008 262719.MHJ_0411 638
262719.MHJ_0008 262719.MHJ_0172 267
262719.MHJ_0008 262719.MHJ_0171 769
262719.MHJ_0008 262719.MHJ_0082 744
262719.MHJ_0008 262719.MHJ_0178 267
262719.MHJ_0008 262719.MHJ_0022 584
262719.MHJ_0008 262719.MHJ_0674 744
262719.MHJ_0008 262719.MHJ_0457 267
262719.MHJ_0008 262719.MHJ_0179 267
262719.MHJ_0008 262719.MHJ_0187 267
262719.MHJ_0008 262719.MHJ_0053 999
262719.MHJ_0008 262719.MHJ_0174 267
262719.MHJ_0009 262719.MHJ_0406 459
262719.MHJ_0009 262719.MHJ_0095 991
262719.MHJ_0010 262719.MHJ_0011 637
262719.MHJ_0010 262719.MHJ_0404 424
262719.MHJ_0011 262719.MHJ_0010 637
262719.MHJ_0011 262719.MHJ_0001 442
262719.MHJ_0011 262719.MHJ_0063 993
262719.MHJ_0011 262719.MHJ_0064 749
262719.MHJ_0011 262719.MHJ_0145 638
262719.MHJ_0011 262719.MHJ_0098 645
262719.MHJ_0012 262719.MHJ_0203 841
262719.MHJ_0012 262719.MHJ_0028 871
262719.MHJ_0012 262719.MHJ_0497 614
262719.MHJ_0012 262719.MHJ_0409 922
262719.MHJ_0012 262719.MHJ_0647 951
262719.MHJ_0012 262719.MHJ_0243 670
262719.MHJ_0012 262719.MHJ_0197 638
262719.MHJ_0012 262719.MHJ_0137 930
262719.MHJ_0012 262719.MHJ_0414 614
262719.MHJ_0014 262719.MHJ_0122 220
262719.MHJ_0015 262719.MHJ_0268 220
262719.MHJ_0015 262719.MHJ_0162 288
262719.MHJ_0015 262719.MHJ_0037 159
262719.MHJ_0018 262719.MHJ_0450 164
262719.MHJ_0019 262719.MHJ_0450 164
262719.MHJ_0020 262719.MHJ_0450 164
262719.MHJ_0022 262719.MHJ_0674 638
262719.MHJ_0022 262719.MHJ_0008 584
262719.MHJ_0022 262719.MHJ_0082 638
262719.MHJ_0022 262719.MHJ_0171 638
262719.MHJ_0022 262719.MHJ_0069 638
262719.MHJ_0024 262719.MHJ_0025 999
262719.MHJ_0024 262719.MHJ_0137 836
262719.MHJ_0025 262719.MHJ_0137 437
262719.MHJ_0025 262719.MHJ_0024 999
262719.MHJ_0028 262719.MHJ_0647 950
262719.MHJ_0028 262719.MHJ_0409 922
262719.MHJ_0028 262719.MHJ_0203 724
262719.MHJ_0028 262719.MHJ_0012 871
262719.MHJ_0028 262719.MHJ_0617 638
262719.MHJ_0028 262719.MHJ_0137 922
262719.MHJ_0028 262719.MHJ_0671 418
262719.MHJ_0028 262719.MHJ_0197 421
262719.MHJ_0028 262719.MHJ_0497 595
262719.MHJ_0028 262719.MHJ_0414 595
262719.MHJ_0028 262719.MHJ_0618 638
262719.MHJ_0028 262719.MHJ_0266 755
262719.MHJ_0029 262719.MHJ_0106 367
262719.MHJ_0029 262719.MHJ_0001 220
262719.MHJ_0029 262719.MHJ_0030 367
262719.MHJ_0029 262719.MHJ_0035 289
262719.MHJ_0030 262719.MHJ_0035 220
262719.MHJ_0030 262719.MHJ_0275 220
262719.MHJ_0030 262719.MHJ_0657 192
262719.MHJ_0030 262719.MHJ_0029 367
262719.MHJ_0030 262719.MHJ_0416 218
262719.MHJ_0030 262719.MHJ_0529 370
262719.MHJ_0030 262719.MHJ_0001 254
262719.MHJ_0031 262719.MHJ_0651 224
262719.MHJ_0031 262719.MHJ_0049 209
262719.MHJ_0031 262719.MHJ_0475 209
262719.MHJ_0031 262719.MHJ_0082 224
262719.MHJ_0031 262719.MHJ_0122 502
262719.MHJ_0031 262719.MHJ_0242 674
262719.MHJ_0031 262719.MHJ_0590 161
262719.MHJ_0031 262719.MHJ_0137 189
262719.MHJ_0031 262719.MHJ_0303 182
262719.MHJ_0031 262719.MHJ_0532 579
262719.MHJ_0031 262719.MHJ_0099 428
262719.MHJ_0031 262719.MHJ_0487 673
262719.MHJ_0031 262719.MHJ_0132 253
262719.MHJ_0031 262719.MHJ_0063 824
262719.MHJ_0031 262719.MHJ_0034 152
262719.MHJ_0031 262719.MHJ_0468 289
262719.MHJ_0031 262719.MHJ_0426 634
262719.MHJ_0031 262719.MHJ_0133 289
262719.MHJ_0033 262719.MHJ_0409 428
262719.MHJ_0033 262719.MHJ_0261 477
262719.MHJ_0034 262719.MHJ_0031 152
262719.MHJ_0035 262719.MHJ_0618 670
262719.MHJ_0035 262719.MHJ_0029 289
262719.MHJ_0035 262719.MHJ_0064 632
262719.MHJ_0035 262719.MHJ_0668 345
262719.MHJ_0035 262719.MHJ_0644 638
262719.MHJ_0035 262719.MHJ_0418 623
262719.MHJ_0035 262719.MHJ_0585 307
262719.MHJ_0035 262719.MHJ_0419 606
262719.MHJ_0035 262719.MHJ_0286 638
262719.MHJ_0035 262719.MHJ_0345 343
262719.MHJ_0035 262719.MHJ_0241 670
262719.MHJ_0035 262719.MHJ_0582 991
262719.MHJ_0035 262719.MHJ_0002 877
262719.MHJ_0035 262719.MHJ_0151 638
262719.MHJ_0035 262719.MHJ_0529 289
262719.MHJ_0035 262719.MHJ_0144 624
262719.MHJ_0035 262719.MHJ_0592 899
262719.MHJ_0035 262719.MHJ_0275 989
262719.MHJ_0035 262719.MHJ_0250 640
262719.MHJ_0035 262719.MHJ_0041 669
262719.MHJ_0035 262719.MHJ_0030 220
262719.MHJ_0035 262719.MHJ_0571 638
262719.MHJ_0035 262719.MHJ_0060 891
262719.MHJ_0035 262719.MHJ_0106 220
262719.MHJ_0035 262719.MHJ_0416 670
262719.MHJ_0037 262719.MHJ_0651 503
262719.MHJ_0037 262719.MHJ_0015 159
262719.MHJ_0037 262719.MHJ_0455 159
262719.MHJ_0037 262719.MHJ_0154 288
262719.MHJ_0041 262719.MHJ_0583 638
262719.MHJ_0041 262719.MHJ_0618 461
262719.MHJ_0041 262719.MHJ_0164 392
262719.MHJ_0041 262719.MHJ_0035 669
262719.MHJ_0041 262719.MHJ_0002 999
262719.MHJ_0043 262719.MHJ_0044 999
262719.MHJ_0043 262719.MHJ_0046 999
262719.MHJ_0043 262719.MHJ_0048 999
262719.MHJ_0043 262719.MHJ_0047 993
262719.MHJ_0043 262719.MHJ_0045 999
262719.MHJ_0043 262719.MHJ_0674 244
262719.MHJ_0043 262719.MHJ_0475 991
262719.MHJ_0043 262719.MHJ_0476 992
262719.MHJ_0043 262719.MHJ_0049 993
262719.MHJ_0044 262719.MHJ_0046 999
262719.MHJ_0044 262719.MHJ_0049 993
262719.MHJ_0044 262719.MHJ_0475 986
262719.MHJ_0044 262719.MHJ_0043 999
262719.MHJ_0044 262719.MHJ_0047 994
262719.MHJ_0044 262719.MHJ_0045 988
262719.MHJ_0044 262719.MHJ_0063 398
262719.MHJ_0044 262719.MHJ_0048 999
262719.MHJ_0044 262719.MHJ_0476 989
262719.MHJ_0045 262719.MHJ_0475 834
262719.MHJ_0045 262719.MHJ_0043 999
262719.MHJ_0045 262719.MHJ_0476 860
262719.MHJ_0045 262719.MHJ_0049 920
262719.MHJ_0045 262719.MHJ_0044 988
262719.MHJ_0045 262719.MHJ_0046 999
262719.MHJ_0045 262719.MHJ_0048 999
262719.MHJ_0045 262719.MHJ_0047 932
262719.MHJ_0046 262719.MHJ_0044 999
262719.MHJ_0046 262719.MHJ_0043 999
262719.MHJ_0046 262719.MHJ_0475 990
262719.MHJ_0046 262719.MHJ_0049 995
262719.MHJ_0046 262719.MHJ_0048 999
262719.MHJ_0046 262719.MHJ_0047 996
262719.MHJ_0046 262719.MHJ_0045 999
262719.MHJ_0046 262719.MHJ_0476 992
262719.MHJ_0047 262719.MHJ_0048 994
262719.MHJ_0047 262719.MHJ_0045 932
262719.MHJ_0047 262719.MHJ_0046 996
262719.MHJ_0047 262719.MHJ_0475 924
262719.MHJ_0047 262719.MHJ_0043 993
262719.MHJ_0047 262719.MHJ_0049 975
262719.MHJ_0047 262719.MHJ_0044 994
262719.MHJ_0048 262719.MHJ_0476 992
262719.MHJ_0048 262719.MHJ_0044 999
262719.MHJ_0048 262719.MHJ_0045 999
262719.MHJ_0048 262719.MHJ_0047 994
262719.MHJ_0048 262719.MHJ_0475 992
262719.MHJ_0048 262719.MHJ_0043 999
262719.MHJ_0048 262719.MHJ_0049 993
262719.MHJ_0048 262719.MHJ_0046 999
262719.MHJ_0049 262719.MHJ_0063 440
262719.MHJ_0049 262719.MHJ_0048 993
262719.MHJ_0049 262719.MHJ_0047 975
262719.MHJ_0049 262719.MHJ_0045 920
262719.MHJ_0049 262719.MHJ_0043 993
262719.MHJ_0049 262719.MHJ_0046 995
262719.MHJ_0049 262719.MHJ_0031 209
262719.MHJ_0049 262719.MHJ_0476 924
262719.MHJ_0049 262719.MHJ_0617 508
262719.MHJ_0049 262719.MHJ_0044 993
262719.MHJ_0050 262719.MHJ_0286 208
262719.MHJ_0050 262719.MHJ_0419 637
262719.MHJ_0051 262719.MHJ_0457 999
262719.MHJ_0051 262719.MHJ_0137 854
262719.MHJ_0051 262719.MHJ_0287 999
262719.MHJ_0051 262719.MHJ_0185 999
262719.MHJ_0051 262719.MHJ_0135 950
262719.MHJ_0051 262719.MHJ_0187 999
262719.MHJ_0051 262719.MHJ_0645 999
262719.MHJ_0051 262719.MHJ_0168 996
262719.MHJ_0051 262719.MHJ_0535 964
262719.MHJ_0051 262719.MHJ_0163 999
262719.MHJ_0051 262719.MHJ_0100 999
262719.MHJ_0051 262719.MHJ_0651 999
262719.MHJ_0051 262719.MHJ_0237 999
262719.MHJ_0051 262719.MHJ_0577 999
262719.MHJ_0051 262719.MHJ_0073 999
262719.MHJ_0051 262719.MHJ_0285 999
262719.MHJ_0051 262719.MHJ_0120 999
262719.MHJ_0051 262719.MHJ_0069 951
262719.MHJ_0051 262719.MHJ_0650 999
262719.MHJ_0051 262719.MHJ_0182 999
262719.MHJ_0051 262719.MHJ_0658 999
262719.MHJ_0051 262719.MHJ_0177 999
262719.MHJ_0051 262719.MHJ_0178 999
262719.MHJ_0051 262719.MHJ_0276 999
262719.MHJ_0051 262719.MHJ_0183 999
262719.MHJ_0051 262719.MHJ_0411 241
262719.MHJ_0051 262719.MHJ_0166 999
262719.MHJ_0051 262719.MHJ_0173 999
262719.MHJ_0051 262719.MHJ_0072 999
262719.MHJ_0051 262719.MHJ_0524 965
262719.MHJ_0051 262719.MHJ_0172 999
262719.MHJ_0051 262719.MHJ_0186 999
262719.MHJ_0051 262719.MHJ_0179 999
262719.MHJ_0051 262719.MHJ_0278 999
262719.MHJ_0051 262719.MHJ_0118 999
262719.MHJ_0051 262719.MHJ_0121 982
262719.MHJ_0051 262719.MHJ_0620 999
262719.MHJ_0051 262719.MHJ_0425 950
262719.MHJ_0051 262719.MHJ_0267 999
262719.MHJ_0051 262719.MHJ_0189 999
262719.MHJ_0051 262719.MHJ_0203 452
262719.MHJ_0051 262719.MHJ_0188 999
262719.MHJ_0051 262719.MHJ_0181 999
262719.MHJ_0051 262719.MHJ_0174 999
262719.MHJ_0051 262719.MHJ_0184 999
262719.MHJ_0051 262719.MHJ_0152 989
262719.MHJ_0051 262719.MHJ_0261 950
262719.MHJ_0051 262719.MHJ_0128 999
262719.MHJ_0051 262719.MHJ_0619 981
262719.MHJ_0051 262719.MHJ_0071 954
262719.MHJ_0051 262719.MHJ_0676 999
262719.MHJ_0051 262719.MHJ_0429 195
262719.MHJ_0051 262719.MHJ_0176 999
262719.MHJ_0051 262719.MHJ_0585 982
262719.MHJ_0051 262719.MHJ_0456 999
262719.MHJ_0051 262719.MHJ_0190 999
262719.MHJ_0051 262719.MHJ_0127 999
262719.MHJ_0051 262719.MHJ_0165 999
262719.MHJ_0051 262719.MHJ_0052 670
262719.MHJ_0051 262719.MHJ_0453 999
