protein1 protein2 combined_score
562982.HMPREF0432_00002 562982.HMPREF0432_00193 265
562982.HMPREF0432_00002 562982.HMPREF0432_01592 821
562982.HMPREF0432_00002 562982.HMPREF0432_01569 612
562982.HMPREF0432_00002 562982.HMPREF0432_01083 964
562982.HMPREF0432_00002 562982.HMPREF0432_00363 918
562982.HMPREF0432_00002 562982.HMPREF0432_00003 964
562982.HMPREF0432_00002 562982.HMPREF0432_00724 821
562982.HMPREF0432_00002 562982.HMPREF0432_01544 821
562982.HMPREF0432_00002 562982.HMPREF0432_01568 612
562982.HMPREF0432_00003 562982.HMPREF0432_01570 709
562982.HMPREF0432_00003 562982.HMPREF0432_01569 690
562982.HMPREF0432_00003 562982.HMPREF0432_01568 690
562982.HMPREF0432_00003 562982.HMPREF0432_00002 964
562982.HMPREF0432_00003 562982.HMPREF0432_00363 978
562982.HMPREF0432_00003 562982.HMPREF0432_01083 987
562982.HMPREF0432_00003 562982.HMPREF0432_00410 818
562982.HMPREF0432_00004 562982.HMPREF0432_00079 167
562982.HMPREF0432_00004 562982.HMPREF0432_00224 232
562982.HMPREF0432_00004 562982.HMPREF0432_01400 165
562982.HMPREF0432_00004 562982.HMPREF0432_01401 165
562982.HMPREF0432_00004 562982.HMPREF0432_01581 228
562982.HMPREF0432_00004 562982.HMPREF0432_00923 288
562982.HMPREF0432_00005 562982.HMPREF0432_00774 169
562982.HMPREF0432_00005 562982.HMPREF0432_00117 169
562982.HMPREF0432_00005 562982.HMPREF0432_01187 290
562982.HMPREF0432_00005 562982.HMPREF0432_00472 238
562982.HMPREF0432_00005 562982.HMPREF0432_00511 240
562982.HMPREF0432_00005 562982.HMPREF0432_01145 238
562982.HMPREF0432_00005 562982.HMPREF0432_00408 238
562982.HMPREF0432_00005 562982.HMPREF0432_00383 238
562982.HMPREF0432_00005 562982.HMPREF0432_00977 173
562982.HMPREF0432_00005 562982.HMPREF0432_00799 238
562982.HMPREF0432_00005 562982.HMPREF0432_00681 224
562982.HMPREF0432_00005 562982.HMPREF0432_00916 240
562982.HMPREF0432_00007 562982.HMPREF0432_00635 424
562982.HMPREF0432_00007 562982.HMPREF0432_00226 641
562982.HMPREF0432_00007 562982.HMPREF0432_00190 781
562982.HMPREF0432_00007 562982.HMPREF0432_00214 273
562982.HMPREF0432_00007 562982.HMPREF0432_01063 280
562982.HMPREF0432_00007 562982.HMPREF0432_00445 856
562982.HMPREF0432_00007 562982.HMPREF0432_01303 156
562982.HMPREF0432_00007 562982.HMPREF0432_00920 223
562982.HMPREF0432_00007 562982.HMPREF0432_00872 203
562982.HMPREF0432_00007 562982.HMPREF0432_00666 150
562982.HMPREF0432_00007 562982.HMPREF0432_00255 565
562982.HMPREF0432_00007 562982.HMPREF0432_00028 153
562982.HMPREF0432_00007 562982.HMPREF0432_01225 317
562982.HMPREF0432_00007 562982.HMPREF0432_00427 278
562982.HMPREF0432_00007 562982.HMPREF0432_00777 837
562982.HMPREF0432_00007 562982.HMPREF0432_01437 179
562982.HMPREF0432_00007 562982.HMPREF0432_00713 424
562982.HMPREF0432_00007 562982.HMPREF0432_00996 424
562982.HMPREF0432_00007 562982.HMPREF0432_00486 181
562982.HMPREF0432_00007 562982.HMPREF0432_00012 765
562982.HMPREF0432_00007 562982.HMPREF0432_01212 631
562982.HMPREF0432_00007 562982.HMPREF0432_00010 370
562982.HMPREF0432_00007 562982.HMPREF0432_00011 344
562982.HMPREF0432_00007 562982.HMPREF0432_00420 228
562982.HMPREF0432_00008 562982.HMPREF0432_01353 152
562982.HMPREF0432_00008 562982.HMPREF0432_00058 173
562982.HMPREF0432_00008 562982.HMPREF0432_01044 157
562982.HMPREF0432_00008 562982.HMPREF0432_00803 151
562982.HMPREF0432_00008 562982.HMPREF0432_00285 157
562982.HMPREF0432_00008 562982.HMPREF0432_00674 152
562982.HMPREF0432_00008 562982.HMPREF0432_00638 157
562982.HMPREF0432_00009 562982.HMPREF0432_00190 284
562982.HMPREF0432_00009 562982.HMPREF0432_00251 272
562982.HMPREF0432_00009 562982.HMPREF0432_00491 582
562982.HMPREF0432_00009 562982.HMPREF0432_01159 227
562982.HMPREF0432_00009 562982.HMPREF0432_01537 169
562982.HMPREF0432_00009 562982.HMPREF0432_01530 169
562982.HMPREF0432_00009 562982.HMPREF0432_01149 185
562982.HMPREF0432_00009 562982.HMPREF0432_00079 224
562982.HMPREF0432_00010 562982.HMPREF0432_01131 245
562982.HMPREF0432_00010 562982.HMPREF0432_01097 272
562982.HMPREF0432_00010 562982.HMPREF0432_01143 272
562982.HMPREF0432_00010 562982.HMPREF0432_01140 272
562982.HMPREF0432_00010 562982.HMPREF0432_00445 840
562982.HMPREF0432_00010 562982.HMPREF0432_01063 173
562982.HMPREF0432_00010 562982.HMPREF0432_01447 676
562982.HMPREF0432_00010 562982.HMPREF0432_01155 272
562982.HMPREF0432_00010 562982.HMPREF0432_01138 272
562982.HMPREF0432_00010 562982.HMPREF0432_00395 272
562982.HMPREF0432_00010 562982.HMPREF0432_01145 272
562982.HMPREF0432_00010 562982.HMPREF0432_01151 272
562982.HMPREF0432_00010 562982.HMPREF0432_01147 272
562982.HMPREF0432_00010 562982.HMPREF0432_00062 272
562982.HMPREF0432_00010 562982.HMPREF0432_01127 272
562982.HMPREF0432_00010 562982.HMPREF0432_01149 272
562982.HMPREF0432_00010 562982.HMPREF0432_01567 272
562982.HMPREF0432_00010 562982.HMPREF0432_01144 272
562982.HMPREF0432_00010 562982.HMPREF0432_00962 272
562982.HMPREF0432_00010 562982.HMPREF0432_00735 272
562982.HMPREF0432_00010 562982.HMPREF0432_00172 370
562982.HMPREF0432_00010 562982.HMPREF0432_01150 272
562982.HMPREF0432_00010 562982.HMPREF0432_00052 272
562982.HMPREF0432_00010 562982.HMPREF0432_01148 272
562982.HMPREF0432_00010 562982.HMPREF0432_00420 347
562982.HMPREF0432_00010 562982.HMPREF0432_00061 272
562982.HMPREF0432_00010 562982.HMPREF0432_01146 272
562982.HMPREF0432_00010 562982.HMPREF0432_00497 272
562982.HMPREF0432_00010 562982.HMPREF0432_00214 679
562982.HMPREF0432_00010 562982.HMPREF0432_01208 214
562982.HMPREF0432_00010 562982.HMPREF0432_01129 272
562982.HMPREF0432_00010 562982.HMPREF0432_00499 272
562982.HMPREF0432_00010 562982.HMPREF0432_01135 272
562982.HMPREF0432_00010 562982.HMPREF0432_01141 272
562982.HMPREF0432_00010 562982.HMPREF0432_00635 173
562982.HMPREF0432_00010 562982.HMPREF0432_00127 272
562982.HMPREF0432_00010 562982.HMPREF0432_00713 173
562982.HMPREF0432_00010 562982.HMPREF0432_00335 272
562982.HMPREF0432_00010 562982.HMPREF0432_00374 272
562982.HMPREF0432_00010 562982.HMPREF0432_01484 272
562982.HMPREF0432_00010 562982.HMPREF0432_01154 272
562982.HMPREF0432_00010 562982.HMPREF0432_00777 424
562982.HMPREF0432_00010 562982.HMPREF0432_01437 341
562982.HMPREF0432_00010 562982.HMPREF0432_00375 272
562982.HMPREF0432_00010 562982.HMPREF0432_00500 425
562982.HMPREF0432_00010 562982.HMPREF0432_01139 272
562982.HMPREF0432_00010 562982.HMPREF0432_01152 272
562982.HMPREF0432_00010 562982.HMPREF0432_01225 644
562982.HMPREF0432_00010 562982.HMPREF0432_01483 272
562982.HMPREF0432_00010 562982.HMPREF0432_00337 272
562982.HMPREF0432_00010 562982.HMPREF0432_00920 224
562982.HMPREF0432_00010 562982.HMPREF0432_01303 216
562982.HMPREF0432_00010 562982.HMPREF0432_00336 272
562982.HMPREF0432_00010 562982.HMPREF0432_01084 272
562982.HMPREF0432_00010 562982.HMPREF0432_01130 272
562982.HMPREF0432_00010 562982.HMPREF0432_00007 370
562982.HMPREF0432_00010 562982.HMPREF0432_01136 272
562982.HMPREF0432_00010 562982.HMPREF0432_01142 272
562982.HMPREF0432_00010 562982.HMPREF0432_00996 173
562982.HMPREF0432_00010 562982.HMPREF0432_00913 272
562982.HMPREF0432_00010 562982.HMPREF0432_01153 272
562982.HMPREF0432_00010 562982.HMPREF0432_01099 272
562982.HMPREF0432_00010 562982.HMPREF0432_00298 645
562982.HMPREF0432_00010 562982.HMPREF0432_00011 779
562982.HMPREF0432_00010 562982.HMPREF0432_01134 542
562982.HMPREF0432_00010 562982.HMPREF0432_00208 272
562982.HMPREF0432_00010 562982.HMPREF0432_00246 272
562982.HMPREF0432_00010 562982.HMPREF0432_01024 272
562982.HMPREF0432_00010 562982.HMPREF0432_00143 272
562982.HMPREF0432_00010 562982.HMPREF0432_01137 272
562982.HMPREF0432_00010 562982.HMPREF0432_00012 838
562982.HMPREF0432_00011 562982.HMPREF0432_01225 644
562982.HMPREF0432_00011 562982.HMPREF0432_01303 216
562982.HMPREF0432_00011 562982.HMPREF0432_00162 226
562982.HMPREF0432_00011 562982.HMPREF0432_00777 783
562982.HMPREF0432_00011 562982.HMPREF0432_01437 152
562982.HMPREF0432_00011 562982.HMPREF0432_00581 171
