protein1 protein2 combined_score
1137281.D778_00004 1137281.D778_01905 231
1137281.D778_00005 1137281.D778_00688 768
1137281.D778_00005 1137281.D778_00117 197
1137281.D778_00005 1137281.D778_00687 165
1137281.D778_00005 1137281.D778_02026 212
1137281.D778_00005 1137281.D778_02806 171
1137281.D778_00005 1137281.D778_02207 212
1137281.D778_00005 1137281.D778_01800 171
1137281.D778_00005 1137281.D778_00694 153
1137281.D778_00005 1137281.D778_00444 734
1137281.D778_00005 1137281.D778_01182 189
1137281.D778_00005 1137281.D778_00552 206
1137281.D778_00005 1137281.D778_01572 210
1137281.D778_00005 1137281.D778_02630 210
1137281.D778_00005 1137281.D778_00429 173
1137281.D778_00005 1137281.D778_00345 179
1137281.D778_00005 1137281.D778_00711 183
1137281.D778_00005 1137281.D778_01173 858
1137281.D778_00005 1137281.D778_00683 171
1137281.D778_00005 1137281.D778_00710 156
1137281.D778_00005 1137281.D778_00689 165
1137281.D778_00005 1137281.D778_00555 212
1137281.D778_00005 1137281.D778_01858 212
1137281.D778_00005 1137281.D778_01815 687
1137281.D778_00005 1137281.D778_00696 189
1137281.D778_00005 1137281.D778_02120 167
1137281.D778_00005 1137281.D778_00580 210
1137281.D778_00005 1137281.D778_00702 198
1137281.D778_00005 1137281.D778_01454 734
1137281.D778_00005 1137281.D778_00771 212
1137281.D778_00005 1137281.D778_00704 183
1137281.D778_00005 1137281.D778_00819 167
1137281.D778_00005 1137281.D778_02476 207
1137281.D778_00005 1137281.D778_01819 171
1137281.D778_00005 1137281.D778_02743 212
1137281.D778_00005 1137281.D778_02259 169
1137281.D778_00005 1137281.D778_00886 175
1137281.D778_00005 1137281.D778_00790 206
1137281.D778_00005 1137281.D778_01294 734
1137281.D778_00005 1137281.D778_00951 171
1137281.D778_00005 1137281.D778_00184 165
1137281.D778_00005 1137281.D778_00707 167
1137281.D778_00005 1137281.D778_01316 212
1137281.D778_00005 1137281.D778_00439 734
1137281.D778_00005 1137281.D778_00180 757
1137281.D778_00005 1137281.D778_00706 175
1137281.D778_00005 1137281.D778_01823 171
1137281.D778_00005 1137281.D778_02474 212
1137281.D778_00005 1137281.D778_02289 757
1137281.D778_00005 1137281.D778_02197 167
1137281.D778_00005 1137281.D778_00889 197
1137281.D778_00005 1137281.D778_01763 150
1137281.D778_00005 1137281.D778_01230 206
1137281.D778_00005 1137281.D778_01247 210
1137281.D778_00005 1137281.D778_00468 189
1137281.D778_00005 1137281.D778_01189 175
1137281.D778_00005 1137281.D778_01767 206
1137281.D778_00005 1137281.D778_01420 167
1137281.D778_00005 1137281.D778_00717 196
1137281.D778_00005 1137281.D778_02510 734
1137281.D778_00005 1137281.D778_00765 197
1137281.D778_00005 1137281.D778_01439 199
1137281.D778_00005 1137281.D778_01455 212
1137281.D778_00005 1137281.D778_00181 763
1137281.D778_00005 1137281.D778_02439 643
1137281.D778_00005 1137281.D778_00013 206
1137281.D778_00005 1137281.D778_02447 212
1137281.D778_00005 1137281.D778_00716 198
1137281.D778_00006 1137281.D778_01514 195
1137281.D778_00007 1137281.D778_01199 165
1137281.D778_00007 1137281.D778_00071 206
1137281.D778_00007 1137281.D778_00357 193
1137281.D778_00007 1137281.D778_02702 237
1137281.D778_00007 1137281.D778_02227 193
1137281.D778_00007 1137281.D778_00630 207
1137281.D778_00007 1137281.D778_00836 169
1137281.D778_00007 1137281.D778_02673 186
