protein1 protein2 combined_score
1218108.KB908291_gene1004 1218108.KB908292_gene1681 214
1218108.KB908291_gene1004 1218108.KB908298_gene3424 192
1218108.KB908291_gene1004 1218108.KB908292_gene1373 214
1218108.KB908291_gene1004 1218108.KB908295_gene1965 237
1218108.KB908291_gene1004 1218108.KB908292_gene1545 214
1218108.KB908291_gene1004 1218108.KB908307_gene388 239
1218108.KB908291_gene1004 1218108.KB908293_gene1329 739
1218108.KB908291_gene1004 1218108.KB908291_gene647 231
1218108.KB908291_gene1004 1218108.KB908291_gene735 192
1218108.KB908291_gene1004 1218108.KB908291_gene964 230
1218108.KB908291_gene1004 1218108.KB908295_gene1861 214
1218108.KB908291_gene1004 1218108.KB908293_gene1147 236
1218108.KB908291_gene1004 1218108.KB908294_gene2166 151
1218108.KB908291_gene1004 1218108.KB908291_gene924 214
1218108.KB908291_gene1004 1218108.KB908298_gene3555 214
1218108.KB908291_gene1004 1218108.KB908291_gene687 237
1218108.KB908291_gene1004 1218108.KB908292_gene1690 230
1218108.KB908291_gene1004 1218108.KB908291_gene471 192
1218108.KB908291_gene1004 1218108.KB908291_gene642 229
1218108.KB908291_gene1004 1218108.KB908293_gene1109 237
1218108.KB908291_gene1004 1218108.KB908298_gene3550 192
1218108.KB908291_gene1004 1218108.KB908293_gene1058 231
1218108.KB908291_gene1004 1218108.KB908295_gene1905 192
1218108.KB908291_gene1004 1218108.KB908291_gene486 192
1218108.KB908291_gene1004 1218108.KB908291_gene982 214
1218108.KB908291_gene1004 1218108.KB908299_gene3387 229
1218108.KB908291_gene1004 1218108.KB908291_gene516 214
1218108.KB908291_gene1004 1218108.KB908305_gene135 214
1218108.KB908291_gene1004 1218108.KB908292_gene1733 192
1218108.KB908291_gene1004 1218108.KB908292_gene1760 192
1218108.KB908291_gene1004 1218108.KB908291_gene517 226
1218108.KB908291_gene1004 1218108.KB908295_gene1990 214
1218108.KB908291_gene1004 1218108.KB908291_gene734 192
1218108.KB908291_gene1004 1218108.KB908292_gene1528 739
1218108.KB908291_gene1006 1218108.KB908295_gene2002 649
1218108.KB908291_gene1006 1218108.KB908305_gene109 217
1218108.KB908291_gene1006 1218108.KB908293_gene1340 913
1218108.KB908291_gene1006 1218108.KB908293_gene1348 913
1218108.KB908291_gene1006 1218108.KB908294_gene2259 173
1218108.KB908291_gene1006 1218108.KB908300_gene2483 649
1218108.KB908291_gene1006 1218108.KB908294_gene2121 185
1218108.KB908291_gene1006 1218108.KB908295_gene2005 241
1218108.KB908291_gene1006 1218108.KB908292_gene1360 210
1218108.KB908291_gene1006 1218108.KB908291_gene515 631
1218108.KB908291_gene1006 1218108.KB908305_gene147 709
1218108.KB908291_gene1006 1218108.KB908295_gene1920 878
1218108.KB908291_gene1006 1218108.KB908293_gene1345 914
1218108.KB908291_gene1006 1218108.KB908304_gene58 173
1218108.KB908291_gene1006 1218108.KB908295_gene1841 210
1218108.KB908291_gene1006 1218108.KB908292_gene1516 221
1218108.KB908291_gene1006 1218108.KB908293_gene1118 173
1218108.KB908291_gene1006 1218108.KB908292_gene1526 210
1218108.KB908291_gene1006 1218108.KB908291_gene614 220
1218108.KB908291_gene1006 1218108.KB908293_gene1343 913
1218108.KB908291_gene1006 1218108.KB908303_gene2606 631
1218108.KB908291_gene1006 1218108.KB908293_gene1335 911
1218108.KB908291_gene1006 1218108.KB908291_gene547 810
1218108.KB908291_gene1006 1218108.KB908292_gene1519 156
1218108.KB908291_gene1006 1218108.KB908292_gene1659 220
1218108.KB908291_gene1006 1218108.KB908297_gene2879 631
1218108.KB908291_gene1006 1218108.KB908291_gene925 734
1218108.KB908291_gene1006 1218108.KB908296_gene3015 228
1218108.KB908291_gene1006 1218108.KB908291_gene938 210
1218108.KB908291_gene1006 1218108.KB908293_gene1347 914
1218108.KB908291_gene1006 1218108.KB908295_gene2004 241
1218108.KB908291_gene1006 1218108.KB908300_gene2501 912
1218108.KB908291_gene1006 1218108.KB908303_gene2650 173
1218108.KB908291_gene1006 1218108.KB908296_gene3133 236
1218108.KB908291_gene1006 1218108.KB908298_gene3547 232
1218108.KB908291_gene1006 1218108.KB908293_gene1339 237
1218108.KB908291_gene1006 1218108.KB908303_gene2667 657
1218108.KB908291_gene1006 1218108.KB908296_gene3242 223
1218108.KB908291_gene1006 1218108.KB908304_gene2 232
1218108.KB908291_gene1006 1218108.KB908291_gene590 232
1218108.KB908291_gene1006 1218108.KB908301_gene2394 220
1218108.KB908291_gene1006 1218108.KB908293_gene1344 915
1218108.KB908291_gene1006 1218108.KB908300_gene2497 631
1218108.KB908291_gene1006 1218108.KB908296_gene3016 783
1218108.KB908291_gene1006 1218108.KB908295_gene2037 236
1218108.KB908291_gene1006 1218108.KB908293_gene1045 617
1218108.KB908291_gene1006 1218108.KB908292_gene1552 241
1218108.KB908291_gene1006 1218108.KB908294_gene2304 649
1218108.KB908291_gene1006 1218108.KB908293_gene1336 908
1218108.KB908291_gene1006 1218108.KB908292_gene1443 199
1218108.KB908291_gene1006 1218108.KB908296_gene3105 878
1218108.KB908291_gene1006 1218108.KB908292_gene1541 631
1218108.KB908291_gene1006 1218108.KB908301_gene2375 232
1218108.KB908291_gene1006 1218108.KB908292_gene1464 221
1218108.KB908291_gene1006 1218108.KB908301_gene2420 631
1218108.KB908291_gene1006 1218108.KB908293_gene1341 911
1218108.KB908291_gene1006 1218108.KB908291_gene481 649
1218108.KB908291_gene1006 1218108.KB908299_gene3312 649
1218108.KB908291_gene1006 1218108.KB908291_gene643 173
1218108.KB908291_gene1006 1218108.KB908297_gene2877 649
1218108.KB908291_gene1006 1218108.KB908304_gene3 232
1218108.KB908291_gene1006 1218108.KB908293_gene1346 915
1218108.KB908291_gene1006 1218108.KB908293_gene1342 913
1218108.KB908291_gene1006 1218108.KB908295_gene2036 255
1218108.KB908291_gene1006 1218108.KB908295_gene1907 878
1218108.KB908291_gene1006 1218108.KB908291_gene747 649
1218108.KB908291_gene1006 1218108.KB908295_gene1821 234
1218108.KB908291_gene1006 1218108.KB908303_gene2634 241
1218108.KB908291_gene1006 1218108.KB908293_gene1046 231
1218108.KB908291_gene1006 1218108.KB908302_gene2765 649
1218108.KB908291_gene1006 1218108.KB908295_gene1969 220
1218108.KB908291_gene1006 1218108.KB908295_gene1873 709
1218108.KB908291_gene1006 1218108.KB908293_gene1120 869
1218108.KB908291_gene1006 1218108.KB908300_gene2526 734
1218108.KB908291_gene1006 1218108.KB908291_gene605 617
1218108.KB908291_gene1009 1218108.KB908304_gene56 173
1218108.KB908291_gene1009 1218108.KB908291_gene945 173
1218108.KB908291_gene1009 1218108.KB908298_gene3536 253
1218108.KB908291_gene1009 1218108.KB908291_gene731 253
1218108.KB908291_gene1009 1218108.KB908295_gene2043 268
1218108.KB908291_gene1009 1218108.KB908292_gene1754 224
1218108.KB908291_gene1009 1218108.KB908291_gene804 173
1218108.KB908291_gene1009 1218108.KB908295_gene1892 253
1218108.KB908291_gene1009 1218108.KB908291_gene462 159
1218108.KB908291_gene1009 1218108.KB908292_gene1476 253
1218108.KB908291_gene1009 1218108.KB908291_gene888 173
1218108.KB908291_gene1009 1218108.KB908292_gene1621 224
1218108.KB908291_gene1009 1218108.KB908299_gene3296 173
1218108.KB908291_gene1009 1218108.KB908291_gene716 159
1218108.KB908291_gene1009 1218108.KB908295_gene1839 220
1218108.KB908291_gene1009 1218108.KB908294_gene2135 253
1218108.KB908291_gene1009 1218108.KB908299_gene3362 173
1218108.KB908291_gene1009 1218108.KB908291_gene767 173
1218108.KB908291_gene1009 1218108.KB908305_gene157 223
1218108.KB908291_gene1009 1218108.KB908294_gene2087 253
1218108.KB908291_gene1009 1218108.KB908298_gene3464 159
1218108.KB908291_gene1009 1218108.KB908302_gene2709 173
1218108.KB908291_gene1009 1218108.KB908298_gene3450 223
1218108.KB908291_gene1009 1218108.KB908293_gene1263 173
1218108.KB908291_gene1009 1218108.KB908293_gene1103 173
1218108.KB908291_gene1009 1218108.KB908308_gene230 253
1218108.KB908291_gene1009 1218108.KB908291_gene750 173
1218108.KB908291_gene1009 1218108.KB908291_gene884 223
1218108.KB908291_gene1009 1218108.KB908302_gene2793 253
1218108.KB908291_gene1009 1218108.KB908293_gene1253 223
1218108.KB908291_gene1009 1218108.KB908292_gene1729 253
1218108.KB908291_gene1009 1218108.KB908291_gene1010 253
1218108.KB908291_gene1009 1218108.KB908291_gene599 173
1218108.KB908291_gene1009 1218108.KB908297_gene2985 223
1218108.KB908291_gene1009 1218108.KB908298_gene3490 287
1218108.KB908291_gene1009 1218108.KB908294_gene2191 159
1218108.KB908291_gene1009 1218108.KB908304_gene21 159
1218108.KB908291_gene1009 1218108.KB908296_gene3071 253
1218108.KB908291_gene1010 1218108.KB908302_gene2736 234
1218108.KB908291_gene1010 1218108.KB908291_gene767 206
1218108.KB908291_gene1010 1218108.KB908291_gene501 181
1218108.KB908291_gene1010 1218108.KB908293_gene1069 181
1218108.KB908291_gene1010 1218108.KB908299_gene3296 206
1218108.KB908291_gene1010 1218108.KB908296_gene3032 219
1218108.KB908291_gene1010 1218108.KB908295_gene1931 219
1218108.KB908291_gene1010 1218108.KB908291_gene1009 253
1218108.KB908291_gene1010 1218108.KB908292_gene1375 181
1218108.KB908291_gene1010 1218108.KB908293_gene1059 181
1218108.KB908291_gene1010 1218108.KB908299_gene3277 239
1218108.KB908291_gene1010 1218108.KB908291_gene989 181
1218108.KB908291_gene1010 1218108.KB908293_gene1231 226
1218108.KB908291_gene1010 1218108.KB908293_gene1263 206
1218108.KB908291_gene1010 1218108.KB908293_gene1092 229
1218108.KB908291_gene1010 1218108.KB908292_gene1586 226
1218108.KB908291_gene1010 1218108.KB908292_gene1578 219
1218108.KB908291_gene1010 1218108.KB908302_gene2777 272
1218108.KB908291_gene1010 1218108.KB908304_gene31 234
1218108.KB908291_gene1010 1218108.KB908299_gene3362 206
1218108.KB908291_gene1010 1218108.KB908293_gene1093 229
1218108.KB908291_gene1010 1218108.KB908301_gene2377 234
1218108.KB908291_gene1010 1218108.KB908296_gene3159 181
1218108.KB908291_gene1010 1218108.KB908291_gene804 206
1218108.KB908291_gene1010 1218108.KB908300_gene2519 234
1218108.KB908291_gene1010 1218108.KB908296_gene3031 219
1218108.KB908291_gene1010 1218108.KB908291_gene750 206
1218108.KB908291_gene1010 1218108.KB908303_gene2619 234
1218108.KB908291_gene1010 1218108.KB908293_gene1103 206
1218108.KB908291_gene1010 1218108.KB908292_gene1485 234
1218108.KB908291_gene1010 1218108.KB908292_gene1564 181
1218108.KB908291_gene1010 1218108.KB908296_gene3070 326
1218108.KB908291_gene1010 1218108.KB908294_gene2319 256
1218108.KB908291_gene1010 1218108.KB908299_gene3335 219
1218108.KB908291_gene1010 1218108.KB908295_gene1854 219
1218108.KB908291_gene1010 1218108.KB908295_gene1891 326
1218108.KB908291_gene1010 1218108.KB908295_gene2031 181
1218108.KB908291_gene1010 1218108.KB908292_gene1524 219
1218108.KB908291_gene1010 1218108.KB908306_gene317 181
1218108.KB908291_gene1010 1218108.KB908291_gene945 206
1218108.KB908291_gene1010 1218108.KB908299_gene3400 231
1218108.KB908291_gene1010 1218108.KB908298_gene3468 181
1218108.KB908291_gene1010 1218108.KB908295_gene1879 181
1218108.KB908291_gene1010 1218108.KB908291_gene599 206
1218108.KB908291_gene1010 1218108.KB908300_gene2554 219
1218108.KB908291_gene1010 1218108.KB908294_gene2271 256
1218108.KB908291_gene1010 1218108.KB908291_gene737 219
1218108.KB908291_gene1010 1218108.KB908294_gene2159 219
1218108.KB908291_gene1010 1218108.KB908291_gene888 206
1218108.KB908291_gene1010 1218108.KB908294_gene2337 239
1218108.KB908291_gene1010 1218108.KB908295_gene2043 262
1218108.KB908291_gene1010 1218108.KB908304_gene56 206
1218108.KB908291_gene1010 1218108.KB908304_gene53 219
1218108.KB908291_gene1010 1218108.KB908302_gene2778 219
1218108.KB908291_gene1010 1218108.KB908302_gene2783 219
1218108.KB908291_gene1010 1218108.KB908291_gene968 219
1218108.KB908291_gene1010 1218108.KB908304_gene77 219
1218108.KB908291_gene1010 1218108.KB908298_gene3489 181
1218108.KB908291_gene1010 1218108.KB908299_gene3356 226
1218108.KB908291_gene1010 1218108.KB908302_gene2709 206
1218108.KB908291_gene1010 1218108.KB908292_gene1633 181
1218108.KB908291_gene1010 1218108.KB908292_gene1447 219
1218108.KB908291_gene1014 1218108.KB908295_gene1946 262
1218108.KB908291_gene1014 1218108.KB908300_gene2494 241
1218108.KB908291_gene1014 1218108.KB908303_gene2673 262
1218108.KB908291_gene1014 1218108.KB908294_gene2275 633
1218108.KB908291_gene1014 1218108.KB908291_gene706 833
1218108.KB908291_gene1014 1218108.KB908293_gene1246 833
1218108.KB908291_gene1015 1218108.KB908300_gene2522 239
1218108.KB908291_gene1015 1218108.KB908307_gene369 217
1218108.KB908291_gene1015 1218108.KB908310_gene173 290
1218108.KB908291_gene1015 1218108.KB908294_gene2122 238
1218108.KB908291_gene1015 1218108.KB908310_gene172 238
1218108.KB908291_gene1015 1218108.KB908297_gene2928 235
1218108.KB908291_gene1015 1218108.KB908310_gene174 235
1218108.KB908291_gene1015 1218108.KB908291_gene607 239
1218108.KB908291_gene1015 1218108.KB908295_gene1968 214
1218108.KB908291_gene1016 1218108.KB908293_gene1346 206
1218108.KB908291_gene1016 1218108.KB908293_gene1320 230
1218108.KB908291_gene1016 1218108.KB908295_gene1936 238
1218108.KB908291_gene1016 1218108.KB908298_gene3435 173
1218108.KB908291_gene1016 1218108.KB908293_gene1159 173
1218108.KB908291_gene1016 1218108.KB908292_gene1732 213
1218108.KB908291_gene1016 1218108.KB908305_gene146 219
1218108.KB908291_gene1016 1218108.KB908301_gene2444 213
1218108.KB908291_gene1016 1218108.KB908293_gene1321 230
1218108.KB908291_gene1019 1218108.KB908301_gene2377 173
1218108.KB908291_gene1019 1218108.KB908303_gene2619 173
