protein1 protein2 combined_score
314278.NB231_00025 314278.NB231_11074 840
314278.NB231_00035 314278.NB231_09963 573
314278.NB231_00035 314278.NB231_13286 225
314278.NB231_00035 314278.NB231_11474 551
314278.NB231_00035 314278.NB231_06121 731
314278.NB231_00035 314278.NB231_17393 278
314278.NB231_00035 314278.NB231_14273 288
314278.NB231_00035 314278.NB231_00040 288
314278.NB231_00035 314278.NB231_02975 731
314278.NB231_00035 314278.NB231_08833 607
314278.NB231_00035 314278.NB231_12294 539
314278.NB231_00035 314278.NB231_07957 720
314278.NB231_00035 314278.NB231_15383 276
314278.NB231_00035 314278.NB231_00925 278
314278.NB231_00035 314278.NB231_06855 288
314278.NB231_00035 314278.NB231_00420 419
314278.NB231_00040 314278.NB231_00460 234
314278.NB231_00040 314278.NB231_08853 171
314278.NB231_00040 314278.NB231_13521 169
314278.NB231_00040 314278.NB231_08833 252
314278.NB231_00040 314278.NB231_09383 161
314278.NB231_00040 314278.NB231_11294 205
314278.NB231_00040 314278.NB231_07612 319
314278.NB231_00040 314278.NB231_10828 161
314278.NB231_00040 314278.NB231_11524 176
314278.NB231_00040 314278.NB231_08117 286
314278.NB231_00040 314278.NB231_14308 270
314278.NB231_00040 314278.NB231_08062 304
314278.NB231_00040 314278.NB231_07982 286
314278.NB231_00040 314278.NB231_13391 281
314278.NB231_00040 314278.NB231_01049 204
314278.NB231_00040 314278.NB231_10843 165
314278.NB231_00040 314278.NB231_08152 286
314278.NB231_00040 314278.NB231_09963 438
314278.NB231_00040 314278.NB231_13201 292
314278.NB231_00040 314278.NB231_08147 286
314278.NB231_00040 314278.NB231_08047 286
314278.NB231_00040 314278.NB231_12029 286
314278.NB231_00040 314278.NB231_05015 286
314278.NB231_00040 314278.NB231_02593 161
314278.NB231_00040 314278.NB231_09013 234
314278.NB231_00040 314278.NB231_09958 194
314278.NB231_00040 314278.NB231_00790 395
314278.NB231_00040 314278.NB231_12521 169
314278.NB231_00040 314278.NB231_01094 303
314278.NB231_00040 314278.NB231_16383 183
314278.NB231_00040 314278.NB231_16543 167
314278.NB231_00040 314278.NB231_07987 286
314278.NB231_00040 314278.NB231_05816 194
314278.NB231_00040 314278.NB231_01209 250
314278.NB231_00040 314278.NB231_17398 208
