protein1 protein2 combined_score
655815.ZPR_0002 655815.ZPR_3617 924
655815.ZPR_0002 655815.ZPR_2010 171
655815.ZPR_0002 655815.ZPR_2033 265
655815.ZPR_0002 655815.ZPR_3867 924
655815.ZPR_0002 655815.ZPR_3860 924
655815.ZPR_0002 655815.ZPR_4483 924
655815.ZPR_0002 655815.ZPR_3858 931
655815.ZPR_0002 655815.ZPR_2122 265
655815.ZPR_0002 655815.ZPR_3873 924
655815.ZPR_0002 655815.ZPR_1241 924
655815.ZPR_0002 655815.ZPR_2120 927
655815.ZPR_0002 655815.ZPR_1164 924
655815.ZPR_0002 655815.ZPR_4435 924
655815.ZPR_0002 655815.ZPR_3871 924
655815.ZPR_0002 655815.ZPR_1242 924
655815.ZPR_0002 655815.ZPR_3865 924
655815.ZPR_0002 655815.ZPR_3852 924
655815.ZPR_0002 655815.ZPR_1153 265
655815.ZPR_0002 655815.ZPR_3866 924
655815.ZPR_0002 655815.ZPR_3851 924
655815.ZPR_0002 655815.ZPR_3876 927
655815.ZPR_0002 655815.ZPR_0514 929
655815.ZPR_0002 655815.ZPR_1165 924
655815.ZPR_0002 655815.ZPR_3879 924
655815.ZPR_0002 655815.ZPR_3878 931
655815.ZPR_0002 655815.ZPR_0449 924
655815.ZPR_0002 655815.ZPR_3872 924
655815.ZPR_0002 655815.ZPR_3874 931
655815.ZPR_0002 655815.ZPR_2047 924
655815.ZPR_0002 655815.ZPR_3856 924
655815.ZPR_0002 655815.ZPR_3853 924
655815.ZPR_0002 655815.ZPR_3877 569
655815.ZPR_0002 655815.ZPR_1166 265
655815.ZPR_0002 655815.ZPR_1463 561
655815.ZPR_0002 655815.ZPR_3849 966
655815.ZPR_0002 655815.ZPR_4623 924
655815.ZPR_0002 655815.ZPR_4482 924
655815.ZPR_0002 655815.ZPR_0515 924
655815.ZPR_0002 655815.ZPR_3864 926
655815.ZPR_0002 655815.ZPR_3875 924
655815.ZPR_0002 655815.ZPR_2121 924
655815.ZPR_0002 655815.ZPR_3861 924
655815.ZPR_0002 655815.ZPR_1428 171
655815.ZPR_0002 655815.ZPR_3868 924
655815.ZPR_0002 655815.ZPR_3870 931
655815.ZPR_0002 655815.ZPR_0516 931
655815.ZPR_0002 655815.ZPR_3862 924
655815.ZPR_0002 655815.ZPR_2328 171
655815.ZPR_0002 655815.ZPR_3859 924
655815.ZPR_0002 655815.ZPR_3603 924
655815.ZPR_0002 655815.ZPR_3863 924
655815.ZPR_0002 655815.ZPR_0930 941
655815.ZPR_0002 655815.ZPR_3869 924
655815.ZPR_0002 655815.ZPR_3857 924
655815.ZPR_0003 655815.ZPR_3259 195
655815.ZPR_0003 655815.ZPR_0493 195
655815.ZPR_0003 655815.ZPR_4598 195
655815.ZPR_0003 655815.ZPR_0544 195
655815.ZPR_0003 655815.ZPR_4565 195
655815.ZPR_0003 655815.ZPR_2587 195
655815.ZPR_0003 655815.ZPR_0043 195
655815.ZPR_0003 655815.ZPR_0562 195
655815.ZPR_0003 655815.ZPR_2256 195
655815.ZPR_0003 655815.ZPR_1073 195
655815.ZPR_0004 655815.ZPR_0648 192
655815.ZPR_0004 655815.ZPR_3156 199
655815.ZPR_0004 655815.ZPR_1414 193
655815.ZPR_0004 655815.ZPR_4604 590
655815.ZPR_0004 655815.ZPR_3726 519
655815.ZPR_0004 655815.ZPR_1364 368
655815.ZPR_0004 655815.ZPR_4562 181
655815.ZPR_0004 655815.ZPR_0310 222
655815.ZPR_0004 655815.ZPR_0056 555
655815.ZPR_0004 655815.ZPR_2029 519
655815.ZPR_0004 655815.ZPR_2946 519
655815.ZPR_0004 655815.ZPR_0938 368
655815.ZPR_0004 655815.ZPR_3620 555
655815.ZPR_0004 655815.ZPR_3110 555
655815.ZPR_0004 655815.ZPR_0975 519
655815.ZPR_0004 655815.ZPR_4060 199
655815.ZPR_0004 655815.ZPR_0851 368
655815.ZPR_0004 655815.ZPR_2161 555
655815.ZPR_0004 655815.ZPR_0777 175
655815.ZPR_0004 655815.ZPR_3173 193
655815.ZPR_0004 655815.ZPR_3943 199
655815.ZPR_0004 655815.ZPR_0854 519
655815.ZPR_0005 655815.ZPR_0182 191
655815.ZPR_0005 655815.ZPR_2566 191
655815.ZPR_0005 655815.ZPR_2270 194
655815.ZPR_0005 655815.ZPR_2030 222
655815.ZPR_0005 655815.ZPR_2008 225
655815.ZPR_0005 655815.ZPR_0974 225
655815.ZPR_0005 655815.ZPR_0278 225
655815.ZPR_0005 655815.ZPR_3866 225
655815.ZPR_0005 655815.ZPR_2769 225
655815.ZPR_0005 655815.ZPR_3815 236
655815.ZPR_0005 655815.ZPR_2291 236
655815.ZPR_0005 655815.ZPR_1735 222
655815.ZPR_0006 655815.ZPR_1472 186
655815.ZPR_0006 655815.ZPR_1372 228
655815.ZPR_0006 655815.ZPR_3766 228
655815.ZPR_0006 655815.ZPR_4593 173
655815.ZPR_0006 655815.ZPR_3906 188
655815.ZPR_0006 655815.ZPR_3868 222
655815.ZPR_0006 655815.ZPR_2644 373
