protein1 protein2 combined_score
1196028.ALEF01000001_gene1904 1196028.ALEF01000033_gene1457 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000001_gene1924 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000033_gene1458 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000017_gene2461 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000063_gene1138 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000017_gene2462 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000063_gene1137 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000029_gene1763 331
1196028.ALEF01000001_gene1904 1196028.ALEF01000079_gene3008 262
1196028.ALEF01000001_gene1904 1196028.ALEF01000035_gene930 331
1196028.ALEF01000001_gene1904 1196028.ALEF01000035_gene974 331
1196028.ALEF01000001_gene1904 1196028.ALEF01000024_gene2159 664
1196028.ALEF01000001_gene1904 1196028.ALEF01000014_gene2825 281
1196028.ALEF01000001_gene1904 1196028.ALEF01000017_gene2522 281
1196028.ALEF01000001_gene1904 1196028.ALEF01000030_gene1516 281
1196028.ALEF01000001_gene1904 1196028.ALEF01000027_gene1884 281
1196028.ALEF01000001_gene1904 1196028.ALEF01000014_gene2716 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000033_gene1458 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000063_gene1138 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000017_gene2461 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000017_gene2462 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000029_gene1763 331
1196028.ALEF01000001_gene1907 1196028.ALEF01000063_gene1137 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000033_gene1457 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000001_gene1924 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000030_gene1516 281
1196028.ALEF01000001_gene1907 1196028.ALEF01000017_gene2522 281
1196028.ALEF01000001_gene1907 1196028.ALEF01000027_gene1884 281
1196028.ALEF01000001_gene1907 1196028.ALEF01000014_gene2716 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000035_gene974 331
1196028.ALEF01000001_gene1907 1196028.ALEF01000079_gene3008 262
1196028.ALEF01000001_gene1907 1196028.ALEF01000035_gene930 331
1196028.ALEF01000001_gene1907 1196028.ALEF01000014_gene2825 281
1196028.ALEF01000001_gene1907 1196028.ALEF01000024_gene2159 664
1196028.ALEF01000001_gene1915 1196028.ALEF01000044_gene377 746
1196028.ALEF01000001_gene1915 1196028.ALEF01000002_gene2052 771
1196028.ALEF01000001_gene1916 1196028.ALEF01000033_gene1398 181
1196028.ALEF01000001_gene1916 1196028.ALEF01000053_gene3524 203
1196028.ALEF01000001_gene1916 1196028.ALEF01000024_gene2135 207
1196028.ALEF01000001_gene1920 1196028.ALEF01000037_gene854 158
1196028.ALEF01000001_gene1920 1196028.ALEF01000044_gene379 296
1196028.ALEF01000001_gene1920 1196028.ALEF01000019_gene2350 218
1196028.ALEF01000001_gene1920 1196028.ALEF01000053_gene3706 276
1196028.ALEF01000001_gene1920 1196028.ALEF01000043_gene522 400
1196028.ALEF01000001_gene1920 1196028.ALEF01000023_gene2209 177
1196028.ALEF01000001_gene1920 1196028.ALEF01000035_gene925 177
1196028.ALEF01000001_gene1920 1196028.ALEF01000077_gene2907 674
1196028.ALEF01000001_gene1920 1196028.ALEF01000037_gene867 286
1196028.ALEF01000001_gene1920 1196028.ALEF01000053_gene3710 251
1196028.ALEF01000001_gene1920 1196028.ALEF01000025_gene1616 158
1196028.ALEF01000001_gene1920 1196028.ALEF01000053_gene3527 177
1196028.ALEF01000001_gene1920 1196028.ALEF01000056_gene3181 747
1196028.ALEF01000001_gene1920 1196028.ALEF01000071_gene2225 190
1196028.ALEF01000001_gene1920 1196028.ALEF01000031_gene1263 241
1196028.ALEF01000001_gene1920 1196028.ALEF01000025_gene1677 177
1196028.ALEF01000001_gene1924 1196028.ALEF01000061_gene1083 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000001_gene1904 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000043_gene508 267
1196028.ALEF01000001_gene1924 1196028.ALEF01000031_gene1241 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000077_gene2865 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000029_gene1762 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000014_gene2747 352
1196028.ALEF01000001_gene1924 1196028.ALEF01000017_gene2463 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000025_gene1692 267
1196028.ALEF01000001_gene1924 1196028.ALEF01000035_gene994 289
1196028.ALEF01000001_gene1924 1196028.ALEF01000035_gene995 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000018_gene2448 225
1196028.ALEF01000001_gene1924 1196028.ALEF01000035_gene929 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000053_gene3597 267
1196028.ALEF01000001_gene1924 1196028.ALEF01000041_gene767 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000042_gene701 225
1196028.ALEF01000001_gene1924 1196028.ALEF01000053_gene3686 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000030_gene1516 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000053_gene3705 412
1196028.ALEF01000001_gene1924 1196028.ALEF01000014_gene2825 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000024_gene2159 730
1196028.ALEF01000001_gene1924 1196028.ALEF01000065_gene1553 316
1196028.ALEF01000001_gene1924 1196028.ALEF01000061_gene1080 701
1196028.ALEF01000001_gene1924 1196028.ALEF01000045_gene65 267
1196028.ALEF01000001_gene1924 1196028.ALEF01000035_gene975 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000001_gene1907 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000077_gene2909 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000061_gene1068 267
1196028.ALEF01000001_gene1924 1196028.ALEF01000077_gene2912 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000065_gene1530 155
1196028.ALEF01000001_gene1924 1196028.ALEF01000035_gene1032 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000018_gene2451 225
1196028.ALEF01000001_gene1924 1196028.ALEF01000081_gene3439 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000057_gene3113 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000033_gene1440 225
1196028.ALEF01000001_gene1924 1196028.ALEF01000087_gene29 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000019_gene2331 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000020_gene1944 151
1196028.ALEF01000001_gene1924 1196028.ALEF01000017_gene2522 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000014_gene2771 225
1196028.ALEF01000001_gene1924 1196028.ALEF01000050_gene3499 288
1196028.ALEF01000001_gene1924 1196028.ALEF01000027_gene1884 262
1196028.ALEF01000001_gene1924 1196028.ALEF01000048_gene211 411
1196028.ALEF01000001_gene1924 1196028.ALEF01000014_gene2776 347
