protein1 protein2 combined_score
243233.MCA0001 243233.MCA3038 736
243233.MCA0001 243233.MCA1785 485
243233.MCA0002 243233.MCA0821 189
243233.MCA0002 243233.MCA1421 258
243233.MCA0002 243233.MCA0186 553
243233.MCA0003 243233.MCA3033 262
243233.MCA0003 243233.MCA2423 204
243233.MCA0003 243233.MCA2655 317
243233.MCA0003 243233.MCA2654 317
243233.MCA0003 243233.MCA2522 194
243233.MCA0003 243233.MCA0004 732
243233.MCA0003 243233.MCA1630 262
243233.MCA0004 243233.MCA1454 310
243233.MCA0004 243233.MCA0003 732
243233.MCA0004 243233.MCA2423 644
243233.MCA0004 243233.MCA2341 310
243233.MCA0004 243233.MCA3033 475
243233.MCA0004 243233.MCA1630 475
243233.MCA0006 243233.MCA1557 641
243233.MCA0006 243233.MCA2708 672
243233.MCA0006 243233.MCA3037 293
243233.MCA0006 243233.MCA0112 650
243233.MCA0006 243233.MCA0008 994
243233.MCA0006 243233.MCA0011 941
243233.MCA0006 243233.MCA2701 999
243233.MCA0006 243233.MCA2699 540
243233.MCA0006 243233.MCA2700 898
243233.MCA0006 243233.MCA0010 983
243233.MCA0006 243233.MCA0009 997
243233.MCA0006 243233.MCA2707 850
243233.MCA0006 243233.MCA0012 987
243233.MCA0006 243233.MCA0957 334
243233.MCA0006 243233.MCA0013 907
243233.MCA0006 243233.MCA0007 980
243233.MCA0006 243233.MCA1556 693
243233.MCA0006 243233.MCA3021 907
243233.MCA0007 243233.MCA0006 980
243233.MCA0007 243233.MCA3021 760
243233.MCA0007 243233.MCA1556 631
243233.MCA0007 243233.MCA0013 760
243233.MCA0007 243233.MCA0012 631
243233.MCA0007 243233.MCA2707 793
243233.MCA0007 243233.MCA2701 998
243233.MCA0007 243233.MCA2699 787
243233.MCA0007 243233.MCA0009 984
243233.MCA0007 243233.MCA0010 977
243233.MCA0007 243233.MCA3037 315
243233.MCA0007 243233.MCA2708 735
243233.MCA0007 243233.MCA1557 655
243233.MCA0007 243233.MCA0008 939
243233.MCA0007 243233.MCA0011 991
243233.MCA0007 243233.MCA0112 650
243233.MCA0008 243233.MCA2701 706
243233.MCA0008 243233.MCA2699 842
243233.MCA0008 243233.MCA0009 983
243233.MCA0008 243233.MCA0010 980
243233.MCA0008 243233.MCA2700 453
243233.MCA0008 243233.MCA2708 315
243233.MCA0008 243233.MCA1557 363
243233.MCA0008 243233.MCA0011 671
243233.MCA0008 243233.MCA0112 650
243233.MCA0008 243233.MCA0006 994
243233.MCA0008 243233.MCA3021 833
243233.MCA0008 243233.MCA1556 387
243233.MCA0008 243233.MCA0007 939
243233.MCA0008 243233.MCA0013 833
243233.MCA0008 243233.MCA0012 954
243233.MCA0008 243233.MCA2707 706
243233.MCA0008 243233.MCA3103 150
243233.MCA0009 243233.MCA1358 183
243233.MCA0009 243233.MCA2701 746
243233.MCA0009 243233.MCA1127 273
243233.MCA0009 243233.MCA0847 183
243233.MCA0009 243233.MCA0914 192
243233.MCA0009 243233.MCA2700 877
243233.MCA0009 243233.MCA1238 192
243233.MCA0009 243233.MCA0006 997
243233.MCA0009 243233.MCA1542 183
243233.MCA0009 243233.MCA1556 634
243233.MCA0009 243233.MCA0012 992
243233.MCA0009 243233.MCA3004 260
243233.MCA0009 243233.MCA0063 285
243233.MCA0009 243233.MCA1357 254
243233.MCA0009 243233.MCA2699 948
243233.MCA0009 243233.MCA2000 192
243233.MCA0009 243233.MCA1800 260
243233.MCA0009 243233.MCA2724 284
243233.MCA0009 243233.MCA0010 997
243233.MCA0009 243233.MCA2155 260
243233.MCA0009 243233.MCA2708 674
243233.MCA0009 243233.MCA1962 183
243233.MCA0009 243233.MCA1737 273
243233.MCA0009 243233.MCA1557 642
243233.MCA0009 243233.MCA2776 260
243233.MCA0009 243233.MCA0112 650
243233.MCA0009 243233.MCA0008 983
243233.MCA0009 243233.MCA0011 995
243233.MCA0009 243233.MCA0064 285
243233.MCA0009 243233.MCA3021 956
243233.MCA0009 243233.MCA0007 984
243233.MCA0009 243233.MCA0013 956
243233.MCA0009 243233.MCA2707 865
243233.MCA0009 243233.MCA2577 284
243233.MCA0009 243233.MCA1960 194
243233.MCA0010 243233.MCA2035 266
243233.MCA0010 243233.MCA2134 252
243233.MCA0010 243233.MCA3001 262
243233.MCA0010 243233.MCA1242 266
243233.MCA0010 243233.MCA1953 262
243233.MCA0010 243233.MCA0009 997
243233.MCA0010 243233.MCA0057 252
243233.MCA0010 243233.MCA0968 153
243233.MCA0010 243233.MCA1306 258
243233.MCA0010 243233.MCA3004 263
243233.MCA0010 243233.MCA1357 559
243233.MCA0010 243233.MCA0012 997
243233.MCA0010 243233.MCA1848 275
243233.MCA0010 243233.MCA1741 153
243233.MCA0010 243233.MCA2376 223
243233.MCA0010 243233.MCA1788 193
243233.MCA0010 243233.MCA1063 266
243233.MCA0010 243233.MCA0006 983
243233.MCA0010 243233.MCA0008 980
243233.MCA0010 243233.MCA0112 650
243233.MCA0010 243233.MCA2776 263
243233.MCA0010 243233.MCA0064 286
243233.MCA0010 243233.MCA3112 225
243233.MCA0010 243233.MCA2708 674
243233.MCA0010 243233.MCA3037 313
243233.MCA0010 243233.MCA1980 225
243233.MCA0010 243233.MCA1981 225
243233.MCA0010 243233.MCA1352 151
243233.MCA0010 243233.MCA2155 263
243233.MCA0010 243233.MCA1800 263
243233.MCA0010 243233.MCA2367 202
243233.MCA0010 243233.MCA1960 267
243233.MCA0010 243233.MCA1627 150
243233.MCA0010 243233.MCA2707 540
243233.MCA0010 243233.MCA1064 189
243233.MCA0010 243233.MCA0610 186
243233.MCA0010 243233.MCA2614 252
243233.MCA0010 243233.MCA0313 225
243233.MCA0010 243233.MCA1238 236
243233.MCA0010 243233.MCA2353 223
243233.MCA0010 243233.MCA2365 150
243233.MCA0010 243233.MCA0914 150
243233.MCA0010 243233.MCA2700 898
243233.MCA0010 243233.MCA2701 999
243233.MCA0010 243233.MCA1856 258
243233.MCA0010 243233.MCA1358 187
243233.MCA0010 243233.MCA1127 273
243233.MCA0010 243233.MCA0851 275
243233.MCA0010 243233.MCA0063 286
243233.MCA0010 243233.MCA0848 313
243233.MCA0010 243233.MCA0314 225
243233.MCA0010 243233.MCA1556 758
243233.MCA0010 243233.MCA1961 189
243233.MCA0010 243233.MCA2368 151
243233.MCA0010 243233.MCA1542 186
243233.MCA0010 243233.MCA0252 258
243233.MCA0010 243233.MCA0011 997
243233.MCA0010 243233.MCA1962 186
243233.MCA0010 243233.MCA1557 642
243233.MCA0010 243233.MCA1737 273
243233.MCA0010 243233.MCA1305 258
243233.MCA0010 243233.MCA2699 940
243233.MCA0010 243233.MCA2000 150
243233.MCA0010 243233.MCA0768 167
243233.MCA0010 243233.MCA2715 266
243233.MCA0010 243233.MCA3021 970
243233.MCA0010 243233.MCA0094 307
243233.MCA0010 243233.MCA0013 970
243233.MCA0010 243233.MCA0007 977
243233.MCA0011 243233.MCA0010 997
243233.MCA0011 243233.MCA1550 185
243233.MCA0011 243233.MCA2699 864
243233.MCA0011 243233.MCA1962 183
243233.MCA0011 243233.MCA1737 273
243233.MCA0011 243233.MCA1557 642
243233.MCA0011 243233.MCA3021 964
243233.MCA0011 243233.MCA0013 964
243233.MCA0011 243233.MCA0007 991
243233.MCA0011 243233.MCA0847 183
243233.MCA0011 243233.MCA0879 212
243233.MCA0011 243233.MCA2700 908
243233.MCA0011 243233.MCA1358 183
243233.MCA0011 243233.MCA2701 999
243233.MCA0011 243233.MCA1127 273
