protein1 protein2 combined_score
700015.Corgl_0001 700015.Corgl_0039 157
700015.Corgl_0001 700015.Corgl_1255 210
700015.Corgl_0001 700015.Corgl_1543 157
700015.Corgl_0001 700015.Corgl_0486 186
700015.Corgl_0001 700015.Corgl_1697 154
700015.Corgl_0001 700015.Corgl_1180 221
700015.Corgl_0001 700015.Corgl_1511 157
700015.Corgl_0001 700015.Corgl_0369 262
700015.Corgl_0001 700015.Corgl_1235 221
700015.Corgl_0001 700015.Corgl_0254 263
700015.Corgl_0001 700015.Corgl_1454 157
700015.Corgl_0001 700015.Corgl_0096 550
700015.Corgl_0001 700015.Corgl_1489 290
700015.Corgl_0001 700015.Corgl_1178 221
700015.Corgl_0001 700015.Corgl_0368 157
700015.Corgl_0001 700015.Corgl_0220 221
700015.Corgl_0001 700015.Corgl_0544 290
700015.Corgl_0001 700015.Corgl_1084 157
700015.Corgl_0001 700015.Corgl_1512 262
700015.Corgl_0001 700015.Corgl_0509 157
700015.Corgl_0001 700015.Corgl_0448 262
700015.Corgl_0001 700015.Corgl_0324 774
700015.Corgl_0001 700015.Corgl_0449 157
700015.Corgl_0001 700015.Corgl_0007 294
700015.Corgl_0001 700015.Corgl_0258 157
700015.Corgl_0001 700015.Corgl_1625 665
700015.Corgl_0001 700015.Corgl_0510 263
700015.Corgl_0001 700015.Corgl_1085 262
700015.Corgl_0002 700015.Corgl_0003 784
700015.Corgl_0002 700015.Corgl_1066 262
700015.Corgl_0002 700015.Corgl_0324 304
700015.Corgl_0002 700015.Corgl_0039 226
700015.Corgl_0002 700015.Corgl_1372 224
700015.Corgl_0002 700015.Corgl_1804 644
700015.Corgl_0002 700015.Corgl_1777 710
700015.Corgl_0002 700015.Corgl_0136 582
700015.Corgl_0002 700015.Corgl_0137 299
700015.Corgl_0002 700015.Corgl_1798 668
700015.Corgl_0002 700015.Corgl_1199 224
700015.Corgl_0002 700015.Corgl_1803 605
700015.Corgl_0002 700015.Corgl_0007 582
700015.Corgl_0002 700015.Corgl_1328 635
700015.Corgl_0002 700015.Corgl_1797 582
700015.Corgl_0002 700015.Corgl_0006 578
700015.Corgl_0002 700015.Corgl_0449 226
700015.Corgl_0003 700015.Corgl_1529 343
700015.Corgl_0003 700015.Corgl_0132 210
700015.Corgl_0003 700015.Corgl_0074 157
700015.Corgl_0003 700015.Corgl_1336 980
700015.Corgl_0003 700015.Corgl_0867 814
700015.Corgl_0003 700015.Corgl_1200 995
700015.Corgl_0003 700015.Corgl_1793 812
700015.Corgl_0003 700015.Corgl_0853 306
700015.Corgl_0003 700015.Corgl_0981 877
700015.Corgl_0003 700015.Corgl_1202 210
700015.Corgl_0003 700015.Corgl_0959 177
700015.Corgl_0003 700015.Corgl_1621 327
700015.Corgl_0003 700015.Corgl_1007 261
700015.Corgl_0003 700015.Corgl_1651 988
700015.Corgl_0003 700015.Corgl_0814 329
700015.Corgl_0003 700015.Corgl_0452 343
700015.Corgl_0003 700015.Corgl_0427 916
700015.Corgl_0003 700015.Corgl_0609 699
700015.Corgl_0003 700015.Corgl_1452 482
700015.Corgl_0003 700015.Corgl_0824 995
700015.Corgl_0003 700015.Corgl_0002 784
700015.Corgl_0003 700015.Corgl_0978 976
700015.Corgl_0003 700015.Corgl_0698 813
700015.Corgl_0003 700015.Corgl_1038 582
700015.Corgl_0003 700015.Corgl_0878 329
700015.Corgl_0003 700015.Corgl_0522 720
700015.Corgl_0003 700015.Corgl_0430 984
700015.Corgl_0003 700015.Corgl_1503 699
700015.Corgl_0003 700015.Corgl_0636 916
700015.Corgl_0003 700015.Corgl_0006 210
700015.Corgl_0003 700015.Corgl_1732 772
700015.Corgl_0003 700015.Corgl_1210 998
700015.Corgl_0003 700015.Corgl_0983 177
700015.Corgl_0004 700015.Corgl_0980 582
700015.Corgl_0004 700015.Corgl_0609 630
700015.Corgl_0004 700015.Corgl_0981 582
700015.Corgl_0004 700015.Corgl_1604 163
700015.Corgl_0004 700015.Corgl_0836 716
700015.Corgl_0004 700015.Corgl_1649 667
700015.Corgl_0006 700015.Corgl_1403 155
700015.Corgl_0006 700015.Corgl_1149 221
700015.Corgl_0006 700015.Corgl_1503 892
700015.Corgl_0006 700015.Corgl_0522 360
700015.Corgl_0006 700015.Corgl_1051 221
700015.Corgl_0006 700015.Corgl_0428 734
700015.Corgl_0006 700015.Corgl_1087 296
700015.Corgl_0006 700015.Corgl_0002 578
700015.Corgl_0006 700015.Corgl_0978 572
700015.Corgl_0006 700015.Corgl_1604 210
700015.Corgl_0006 700015.Corgl_1040 284
700015.Corgl_0006 700015.Corgl_0609 956
700015.Corgl_0006 700015.Corgl_0136 828
700015.Corgl_0006 700015.Corgl_0007 999
700015.Corgl_0006 700015.Corgl_0981 523
700015.Corgl_0006 700015.Corgl_0620 200
700015.Corgl_0006 700015.Corgl_0003 210
700015.Corgl_0006 700015.Corgl_0987 163
700015.Corgl_0007 700015.Corgl_1092 155
700015.Corgl_0007 700015.Corgl_1799 210
700015.Corgl_0007 700015.Corgl_0987 367
700015.Corgl_0007 700015.Corgl_0001 294
700015.Corgl_0007 700015.Corgl_1327 207
700015.Corgl_0007 700015.Corgl_0862 210
700015.Corgl_0007 700015.Corgl_0981 682
700015.Corgl_0007 700015.Corgl_0002 582
700015.Corgl_0007 700015.Corgl_1306 179
700015.Corgl_0007 700015.Corgl_0136 272
700015.Corgl_0007 700015.Corgl_1735 382
700015.Corgl_0007 700015.Corgl_0006 999
700015.Corgl_0008 700015.Corgl_0217 317
700015.Corgl_0032 700015.Corgl_1543 212
700015.Corgl_0032 700015.Corgl_1466 170
700015.Corgl_0032 700015.Corgl_1455 217
700015.Corgl_0032 700015.Corgl_1454 212
700015.Corgl_0032 700015.Corgl_0548 217
700015.Corgl_0032 700015.Corgl_0136 236
700015.Corgl_0032 700015.Corgl_0039 212
700015.Corgl_0032 700015.Corgl_0138 373
700015.Corgl_0032 700015.Corgl_1337 254
700015.Corgl_0032 700015.Corgl_1697 174
700015.Corgl_0032 700015.Corgl_0829 373
700015.Corgl_0032 700015.Corgl_1084 212
700015.Corgl_0032 700015.Corgl_0486 170
700015.Corgl_0032 700015.Corgl_1564 170
700015.Corgl_0032 700015.Corgl_1601 170
700015.Corgl_0032 700015.Corgl_0368 212
700015.Corgl_0032 700015.Corgl_1037 215
700015.Corgl_0032 700015.Corgl_1511 212
700015.Corgl_0032 700015.Corgl_1707 170
700015.Corgl_0032 700015.Corgl_0509 212
700015.Corgl_0032 700015.Corgl_1336 351
700015.Corgl_0032 700015.Corgl_0258 212
700015.Corgl_0032 700015.Corgl_1021 254
